epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,nan,nan,0.101467,0.101467,10.650873
2,nan,nan,0.101467,0.101467,10.223617
3,nan,nan,0.101467,0.101467,10.224899
4,nan,nan,0.101467,0.101467,10.224206
5,nan,nan,0.101467,0.101467,10.223680
6,nan,nan,0.101467,0.101467,10.225514
7,nan,nan,0.101467,0.101467,10.224000
8,nan,nan,0.101467,0.101467,10.225168
9,nan,nan,0.101467,0.101467,10.224990
10,nan,nan,0.101467,0.101467,10.224279
11,nan,nan,0.101467,0.101467,10.227125
12,nan,nan,0.101467,0.101467,10.225074
13,nan,nan,0.101467,0.101467,10.224593
14,nan,nan,0.101467,0.101467,10.224953
15,nan,nan,0.101467,0.101467,10.223927
16,nan,nan,0.101467,0.101467,10.225562
17,nan,nan,0.101467,0.101467,10.224572
18,nan,nan,0.101467,0.101467,10.224344
19,nan,nan,0.101467,0.101467,10.224729
20,nan,nan,0.101467,0.101467,10.225541
