epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
51,1.239601,0.756558,1.260288,0.737364,0.054005,0.766363,0.725953,0.548227,0.605178,0.010000,0.133847,366.713400
52,1.233521,0.753420,1.258736,0.734478,0.054247,0.758964,0.710302,0.632021,0.656225,0.010000,0.133913,366.751281
53,1.223597,0.739186,1.236508,0.720723,0.052665,0.757826,0.714570,0.637307,0.668941,0.010000,0.133673,366.634730
54,1.219138,0.745158,1.241543,0.733190,0.054049,0.755549,0.702903,0.620050,0.654835,0.010000,0.133958,366.674244
55,1.215898,0.746851,1.220948,0.714135,0.052172,0.754126,0.716847,0.636190,0.667896,0.010000,0.133567,366.503517
56,1.209580,0.754061,1.223315,0.720454,0.053230,0.760387,0.702903,0.576452,0.626261,0.010000,0.133599,366.441884
57,1.205259,0.739902,1.234493,0.743211,0.053347,0.763802,0.741320,0.593868,0.639586,0.010000,0.133666,366.475379
58,1.197010,0.735654,1.224571,0.737342,0.054788,0.756118,0.671315,0.654102,0.660598,0.010000,0.133648,366.475252
59,1.193535,0.739523,1.211863,0.723400,0.052974,0.755834,0.715709,0.636840,0.661193,0.010000,0.133752,366.554220
60,1.184085,0.730174,1.211540,0.730759,0.053613,0.750142,0.706033,0.643200,0.669198,0.010000,0.133783,366.532037
61,1.181515,0.752119,1.215837,0.741979,0.055265,0.752419,0.717701,0.588939,0.633065,0.010000,0.133911,366.514482
62,1.176299,0.746704,1.200807,0.728859,0.053355,0.762379,0.694935,0.634782,0.649142,0.010000,0.133719,366.440626
63,1.171411,0.728517,1.210878,0.742582,0.054763,0.758964,0.678998,0.636684,0.654700,0.010000,0.133923,366.526417
64,1.165365,0.736132,1.186635,0.726413,0.052398,0.764371,0.752419,0.577764,0.635867,0.010000,0.133670,366.601042
65,1.161146,0.743871,1.182151,0.726467,0.052526,0.763517,0.711725,0.639117,0.664689,0.010000,0.133741,366.714329
66,1.155578,0.743270,1.184137,0.726666,0.052511,0.764087,0.730222,0.621895,0.658660,0.010000,0.133931,366.581757
67,1.149837,0.739778,1.185495,0.731814,0.054039,0.751281,0.692943,0.661627,0.677581,0.010000,0.133678,366.650157
68,1.145445,0.759886,1.163257,0.710858,0.051280,0.765225,0.707740,0.659757,0.673759,0.010000,0.133730,366.698718
69,1.142679,0.738044,1.161369,0.714648,0.051651,0.758680,0.724815,0.648045,0.674040,0.010000,0.133807,366.691046
70,1.133893,0.737775,1.153444,0.717901,0.051601,0.771485,0.735060,0.605115,0.644668,0.010000,0.133796,366.644703
71,1.131346,0.730212,1.160305,0.719352,0.052444,0.757257,0.712863,0.643428,0.667400,0.010000,0.134293,366.846219
72,1.127228,0.735812,1.150045,0.719517,0.050644,0.765509,0.740182,0.653279,0.675811,0.010000,0.134215,366.645070
73,1.122603,0.737308,1.150558,0.723884,0.052583,0.763517,0.729653,0.573918,0.631362,0.010000,0.133635,366.509505
74,1.115586,0.732486,1.136021,0.711153,0.051621,0.758680,0.732499,0.627286,0.668034,0.010000,0.133751,367.028585
75,1.111172,0.722425,1.147886,0.740195,0.054055,0.754696,0.728515,0.610949,0.650074,0.010000,0.133757,366.940080
76,1.107212,0.723249,1.133221,0.715498,0.051211,0.769209,0.735629,0.604625,0.650111,0.010000,0.133642,366.824379
77,1.099131,0.725144,1.124613,0.711485,0.051856,0.757826,0.700341,0.663551,0.685800,0.010000,0.133696,366.715799
78,1.096582,0.708806,1.118102,0.709845,0.050879,0.767217,0.733352,0.627531,0.668792,0.010000,0.133909,366.746566
79,1.091251,0.721008,1.132713,0.732984,0.054539,0.751850,0.697780,0.647158,0.673475,0.010000,0.133694,366.828497
80,1.090157,0.727835,1.106978,0.705074,0.051115,0.763517,0.708879,0.640001,0.671587,0.010000,0.133823,366.921517
81,1.084036,0.728739,1.111251,0.712641,0.051157,0.761525,0.730507,0.649573,0.682595,0.010000,0.133870,366.718440
82,1.077628,0.715231,1.114062,0.750199,0.057328,0.739898,0.672453,0.654101,0.665490,0.010000,0.133932,366.786480
83,1.074935,0.709848,1.118280,0.724580,0.052179,0.766648,0.725384,0.636020,0.671859,0.010000,0.133773,366.847503
84,1.072873,0.718328,1.089769,0.703945,0.050133,0.768355,0.743312,0.625878,0.669906,0.010000,0.133781,366.844378
85,1.064366,0.739739,1.103867,0.723917,0.052966,0.758110,0.717416,0.654064,0.668280,0.010000,0.133795,366.675177
86,1.061316,0.713906,1.099405,0.714116,0.051596,0.760672,0.721400,0.656302,0.688934,0.010000,0.133945,366.694689
87,1.057613,0.704671,1.095497,0.720913,0.051333,0.768071,0.743597,0.626299,0.662820,0.010000,0.133787,366.730337
88,1.053584,0.718043,1.091177,0.717239,0.051322,0.755549,0.735344,0.643944,0.676503,0.010000,0.134233,366.781336
89,1.051360,0.707369,1.090028,0.716478,0.051441,0.768355,0.714286,0.642411,0.663239,0.010000,0.133772,362.860902
90,1.043659,0.712297,1.078132,0.716894,0.051236,0.768640,0.750142,0.599583,0.653642,0.010000,0.134140,357.550203
91,1.041199,0.728191,1.071477,0.705320,0.050661,0.771770,0.728230,0.646987,0.680345,0.010000,0.134340,357.543411
92,1.036597,0.706600,1.069367,0.706131,0.050588,0.763517,0.727945,0.657189,0.686755,0.010000,0.134208,357.412620
93,1.033320,0.706480,1.059637,0.701283,0.049737,0.773193,0.743312,0.641938,0.674130,0.010000,0.134180,357.302939
94,1.028103,0.705113,1.053510,0.704771,0.049614,0.769209,0.749858,0.648953,0.679432,0.010000,0.134067,357.394432
95,1.025255,0.708326,1.063380,0.734108,0.051576,0.770916,0.761525,0.596838,0.644123,0.010000,0.134393,357.414692
96,1.021404,0.714512,1.056175,0.714181,0.051746,0.762664,0.727092,0.647181,0.672373,0.010000,0.134471,357.530876
97,1.019108,0.705071,1.057479,0.713048,0.050948,0.771201,0.732783,0.636614,0.671842,0.010000,0.134747,357.568937
98,1.012572,0.692389,1.052467,0.713135,0.051288,0.764940,0.719124,0.643771,0.677172,0.010000,0.134031,357.347463
99,1.009711,0.695015,1.062324,0.727185,0.051543,0.771485,0.745304,0.597219,0.650464,0.010000,0.134082,357.418620
100,1.005802,0.718506,1.047251,0.711158,0.051439,0.766363,0.728515,0.651337,0.678750,0.010000,0.134105,357.316003
1,0.981400,0.647447,1.038653,0.700642,0.049294,0.768071,0.740182,0.663107,0.694608,0.001000,0.144587,291.523549
2,0.974673,0.641696,1.039633,0.703789,0.049293,0.773762,0.742174,0.675641,0.702243,0.001000,0.125849,284.652740
3,0.972291,0.639974,1.032160,0.696675,0.048894,0.772055,0.743312,0.654724,0.692990,0.001000,0.126015,285.548559
4,0.970730,0.638728,1.034335,0.697910,0.048216,0.775754,0.752134,0.672373,0.705424,0.001000,0.126048,287.067272
5,0.968049,0.636453,1.038243,0.702973,0.048449,0.777462,0.742459,0.673124,0.693877,0.001000,0.125942,287.512328
6,0.966609,0.635017,1.039481,0.704980,0.048820,0.774616,0.746443,0.662502,0.693671,0.001000,0.125921,288.014180
7,0.966784,0.635891,1.037708,0.702102,0.049487,0.774047,0.745020,0.662058,0.686062,0.001000,0.126050,288.300858
8,0.963258,0.632894,1.045274,0.706505,0.049453,0.777177,0.744166,0.682012,0.699389,0.001000,0.125810,288.808846
9,0.964456,0.634493,1.032073,0.699511,0.048227,0.776608,0.759533,0.649286,0.694513,0.001000,0.126012,288.547840
10,0.963551,0.634603,1.042922,0.706822,0.049284,0.770916,0.739898,0.685249,0.701359,0.001000,0.125869,289.095212
11,0.960854,0.632412,1.040690,0.704773,0.048879,0.775470,0.749289,0.668556,0.702847,0.001000,0.125962,288.560463
12,0.960129,0.631684,1.039264,0.705703,0.048888,0.774900,0.744451,0.676659,0.701280,0.001000,0.126066,288.538872
13,0.960223,0.631955,1.036354,0.703477,0.049005,0.772339,0.743028,0.682833,0.695723,0.001000,0.126005,288.216216
14,0.961334,0.632662,1.040807,0.708854,0.049561,0.770347,0.743882,0.672961,0.698446,0.001000,0.126035,288.925507
15,0.959402,0.631482,1.025965,0.692275,0.047934,0.774900,0.746158,0.685826,0.713801,0.001000,0.126007,288.420448
16,0.957424,0.629921,1.034912,0.702269,0.048611,0.781730,0.758110,0.641804,0.694664,0.001000,0.125999,288.393655
17,0.955461,0.628735,1.027076,0.692658,0.048150,0.776892,0.747012,0.670202,0.701429,0.001000,0.125978,288.814451
18,0.953588,0.628446,1.048279,0.716152,0.050050,0.768640,0.745874,0.655345,0.684072,0.001000,0.125863,288.720738
19,0.954029,0.628063,1.044568,0.712905,0.049753,0.774616,0.736767,0.687313,0.700389,0.001000,0.125958,288.430494
20,0.953485,0.627897,1.032714,0.700380,0.048788,0.779169,0.751281,0.676809,0.707846,0.001000,0.126018,288.823560
21,0.954310,0.628402,1.041607,0.714278,0.048950,0.775754,0.753273,0.669779,0.699655,0.001000,0.126081,288.999334
22,0.953440,0.628499,1.029149,0.697424,0.048372,0.781730,0.745589,0.690343,0.706065,0.001000,0.126100,288.384725
23,0.952601,0.627721,1.048093,0.716390,0.049804,0.774331,0.737906,0.677379,0.704594,0.001000,0.125936,288.561438
24,0.948944,0.624053,1.052189,0.723519,0.050041,0.772339,0.739613,0.674263,0.691844,0.001000,0.125928,288.349288
25,0.949051,0.624794,1.042914,0.712742,0.049704,0.779738,0.741890,0.676634,0.693261,0.001000,0.126052,288.794071
26,0.947849,0.624799,1.032746,0.703980,0.048854,0.772908,0.751565,0.669995,0.700426,0.001000,0.125985,289.262352
27,0.947195,0.624506,1.034975,0.705738,0.048371,0.778600,0.756403,0.661154,0.693662,0.001000,0.125905,288.692379
28,0.947584,0.625169,1.047715,0.721178,0.049404,0.778600,0.742459,0.682973,0.688722,0.001000,0.125991,288.809070
29,0.947497,0.625490,1.042847,0.717142,0.049201,0.776039,0.751281,0.671103,0.695153,0.001000,0.126073,288.868259
30,0.944946,0.623204,1.032835,0.705881,0.048546,0.778315,0.748719,0.687356,0.699534,0.001000,0.126056,288.567861
31,0.942769,0.621297,1.044861,0.718037,0.049708,0.778031,0.752419,0.661884,0.686623,0.001000,0.125922,288.734685
32,0.945189,0.625070,1.022896,0.696181,0.047831,0.780876,0.753557,0.665272,0.697618,0.001000,0.125936,289.276246
33,0.942101,0.620961,1.031391,0.703704,0.048970,0.772908,0.742743,0.670917,0.701864,0.001000,0.126072,289.017135
34,0.944217,0.625395,1.043168,0.714201,0.048802,0.775470,0.752703,0.668969,0.703380,0.001000,0.126546,290.214627
35,0.941394,0.621382,1.038998,0.714241,0.049809,0.772055,0.743597,0.672775,0.694502,0.001000,0.126158,290.900206
36,0.944614,0.624977,1.033430,0.708883,0.048542,0.776039,0.754696,0.659907,0.697506,0.001000,0.126201,290.748928
37,0.940378,0.620787,1.041198,0.716777,0.049313,0.774047,0.749858,0.667629,0.693936,0.001000,0.126220,290.792630
38,0.940498,0.622141,1.037307,0.712501,0.049000,0.776892,0.747581,0.679097,0.700912,0.001000,0.126121,290.446111
39,0.937005,0.618563,1.039813,0.716737,0.049893,0.774047,0.738190,0.688366,0.702287,0.001000,0.125953,290.829500
40,0.935760,0.618022,1.047542,0.724004,0.050236,0.774900,0.741605,0.661789,0.683101,0.001000,0.125987,290.688023
41,0.936726,0.619043,1.046286,0.722355,0.049602,0.772339,0.739898,0.678097,0.690228,0.001000,0.126201,290.423847
42,0.937933,0.619972,1.048326,0.723880,0.049632,0.772908,0.738475,0.673427,0.689821,0.001000,0.126158,290.113725
43,0.934880,0.617899,1.029754,0.706022,0.048308,0.777177,0.745304,0.680227,0.706467,0.001000,0.126156,290.032898
44,0.933088,0.617247,1.038755,0.718296,0.049172,0.778884,0.748150,0.655244,0.683872,0.001000,0.126203,289.952035
45,0.934128,0.618337,1.048118,0.723617,0.050083,0.776323,0.742459,0.671495,0.691040,0.001000,0.126268,290.374324
46,0.932140,0.615567,1.038866,0.719114,0.049458,0.778031,0.746727,0.671268,0.694484,0.001000,0.125991,289.791179
47,0.931086,0.615448,1.026030,0.704745,0.047882,0.784007,0.750142,0.677840,0.696689,0.001000,0.126068,289.547073
48,0.932626,0.616816,1.031675,0.711350,0.048888,0.776608,0.746443,0.665678,0.695094,0.001000,0.126053,289.516114
49,0.931682,0.616988,1.031965,0.711514,0.048783,0.776039,0.747581,0.683712,0.697885,0.001000,0.126365,289.618630
50,0.930351,0.616586,1.028475,0.708565,0.048694,0.777746,0.751565,0.669992,0.700819,0.001000,0.126500,289.609533
51,0.926040,0.612051,1.042254,0.722608,0.049304,0.778315,0.752988,0.669452,0.693018,0.001000,0.126532,290.150516
52,0.927168,0.613096,1.039861,0.721228,0.049255,0.778884,0.743882,0.685724,0.696575,0.001000,0.126021,289.394173
53,0.927327,0.614305,1.024341,0.704593,0.048482,0.775185,0.752988,0.685157,0.711543,0.001000,0.125898,289.010135
54,0.924875,0.611461,1.034701,0.716269,0.048554,0.780307,0.739328,0.683471,0.702389,0.001000,0.126043,289.277239
55,0.926975,0.614697,1.025147,0.707629,0.048574,0.776608,0.750427,0.673515,0.703514,0.001000,0.126133,288.923141
56,0.924255,0.612625,1.027870,0.706048,0.048327,0.777462,0.756118,0.661741,0.697665,0.001000,0.126244,289.312531
57,0.924925,0.613348,1.045219,0.729347,0.049053,0.777462,0.754980,0.665645,0.696766,0.001000,0.126087,289.306470
58,0.921373,0.609826,1.043400,0.722439,0.049658,0.775754,0.742743,0.675902,0.698953,0.001000,0.126121,289.380866
59,0.921350,0.611119,1.040851,0.723139,0.049173,0.778031,0.749289,0.681663,0.701760,0.001000,0.126174,289.019704
60,0.921154,0.611412,1.023152,0.707849,0.047869,0.776892,0.754980,0.682338,0.707734,0.001000,0.126325,289.027031
61,0.920303,0.610420,1.039425,0.724273,0.049559,0.774900,0.744166,0.670378,0.694999,0.001000,0.125954,288.646398
62,0.920131,0.610699,1.038970,0.720474,0.049252,0.777177,0.747866,0.686352,0.698971,0.001000,0.126112,289.402069
63,0.919166,0.609453,1.050033,0.732678,0.050439,0.772624,0.740467,0.681858,0.686987,0.001000,0.126052,289.127361
