epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
61,0.611630,0.614290,0.625293,0.051165,0.798805,0.745589,0.587537,0.629294,0.001000,436.021670
62,0.614563,0.633299,0.600958,0.047783,0.811326,0.752134,0.634532,0.667037,0.001000,436.175652
63,0.610882,0.613338,0.590447,0.047989,0.811042,0.721685,0.615113,0.649878,0.001000,435.987896
64,0.610424,0.594327,0.603176,0.049008,0.805350,0.722823,0.623169,0.664625,0.001000,436.274699
65,0.610828,0.639142,0.804078,0.075728,0.718270,0.455037,0.551382,0.537891,0.001000,436.307959
66,0.610978,0.637430,0.618301,0.049410,0.810188,0.779738,0.583567,0.623615,0.001000,436.349553
67,0.607883,0.622479,0.603748,0.047314,0.810757,0.745589,0.629344,0.653872,0.001000,436.318366
68,0.610035,0.595097,0.615766,0.049715,0.803643,0.765794,0.560478,0.620155,0.001000,436.133375
69,0.608042,0.590336,0.587670,0.047184,0.813318,0.739328,0.643243,0.667675,0.001000,435.999741
70,0.606099,0.596676,0.709291,0.064489,0.765509,0.533011,0.599516,0.596532,0.001000,436.075118
71,0.607179,0.601388,0.644216,0.051509,0.800512,0.774331,0.581280,0.620548,0.001000,436.074276
72,0.607030,0.615507,0.589289,0.047443,0.812464,0.743312,0.635404,0.655778,0.001000,435.981123
73,0.607114,0.634176,0.595432,0.047394,0.812749,0.765794,0.597433,0.646031,0.001000,436.038996
74,0.604433,0.619299,0.606080,0.050333,0.803643,0.721969,0.649806,0.669959,0.001000,436.135748
75,0.608978,0.603911,0.631305,0.053163,0.787991,0.643142,0.629583,0.665670,0.001000,436.157144
76,0.605296,0.599364,0.590100,0.048436,0.807627,0.735344,0.592876,0.651739,0.001000,436.382893
77,0.601104,0.600140,0.580627,0.046709,0.806488,0.751850,0.615823,0.682382,0.001000,436.167773
78,0.605454,0.583302,0.583948,0.047101,0.808765,0.719124,0.639624,0.686218,0.001000,436.427331
79,0.604125,0.590106,0.616831,0.049952,0.805350,0.667046,0.649541,0.655195,0.001000,436.482480
80,0.603940,0.608530,0.588769,0.047212,0.811326,0.742459,0.651556,0.684000,0.001000,436.601956
81,0.604391,0.622896,0.594467,0.047716,0.810188,0.764940,0.617563,0.663640,0.001000,436.385120
82,0.601428,0.625914,0.646404,0.054739,0.793113,0.622937,0.639411,0.643304,0.001000,436.404230
83,0.601628,0.591767,0.591841,0.047081,0.812749,0.697211,0.675657,0.691959,0.001000,436.393034
84,0.600897,0.585899,0.628159,0.052536,0.797097,0.635174,0.632724,0.646461,0.001000,436.128357
85,0.602494,0.597805,0.621146,0.052415,0.797951,0.685828,0.639545,0.667752,0.001000,436.123687
86,0.601692,0.595686,0.596209,0.048060,0.809334,0.759818,0.633022,0.675208,0.001000,436.265835
87,0.600416,0.582807,0.596555,0.048937,0.805635,0.730791,0.619051,0.651306,0.001000,436.133489
88,0.598443,0.593765,0.626456,0.050550,0.805065,0.770632,0.565193,0.619695,0.001000,436.357101
89,0.599242,0.606926,0.598129,0.049242,0.802504,0.707740,0.619493,0.654816,0.001000,436.306648
90,0.599959,0.579646,0.594691,0.048019,0.813318,0.714286,0.622585,0.658072,0.001000,436.346174
91,0.598320,0.615041,0.821575,0.063916,0.784007,0.766079,0.425178,0.466123,0.001000,436.369795
92,0.596927,0.598238,0.720214,0.065189,0.763802,0.547809,0.610226,0.616702,0.001000,436.344760
93,0.595960,0.603257,0.587007,0.046801,0.813603,0.766363,0.638027,0.670598,0.001000,436.515157
94,0.599940,0.590912,0.623272,0.051402,0.801935,0.770347,0.555063,0.618029,0.001000,436.547240
95,0.598201,0.594018,0.636198,0.051269,0.804212,0.778031,0.558748,0.605350,0.001000,436.494958
96,0.596667,0.590926,0.611295,0.048025,0.811326,0.772055,0.625735,0.667787,0.001000,436.703729
97,0.596432,0.590669,0.581631,0.046657,0.813603,0.749289,0.618435,0.652528,0.001000,436.703771
98,0.594513,0.572615,0.585946,0.047084,0.811326,0.754126,0.615191,0.664793,0.001000,436.776664
99,0.595259,0.592964,0.601689,0.050341,0.803073,0.728799,0.563881,0.620787,0.001000,436.774784
100,0.597013,0.605521,0.590810,0.047239,0.809903,0.705748,0.659875,0.683803,0.001000,436.702628
101,0.592844,0.584781,0.579840,0.046799,0.811611,0.719977,0.662302,0.694109,0.001000,436.703318
102,0.593214,0.576600,0.583873,0.047202,0.808196,0.744451,0.624250,0.683482,0.001000,436.755595
103,0.592606,0.573888,0.581257,0.046655,0.812464,0.762948,0.629281,0.655635,0.001000,436.837587
104,0.593918,0.579254,0.596487,0.048059,0.810757,0.761525,0.599808,0.642704,0.001000,436.859961
105,0.593904,0.595500,0.612949,0.050177,0.799659,0.676153,0.645793,0.662278,0.001000,436.801188
106,0.595945,0.584703,0.570315,0.045459,0.814456,0.726522,0.664522,0.692059,0.001000,436.888720
107,0.593190,0.588663,0.617498,0.050665,0.797951,0.783722,0.556927,0.644373,0.001000,437.337341
108,0.591817,0.579422,0.588118,0.047815,0.806773,0.761810,0.634386,0.694186,0.001000,436.875822
109,0.590357,0.587914,0.601540,0.050444,0.798236,0.692658,0.637689,0.673009,0.001000,437.158666
110,0.591522,0.576870,0.587014,0.047456,0.803927,0.720831,0.642387,0.688029,0.001000,436.931534
111,0.591800,0.572278,0.584013,0.047261,0.813034,0.719124,0.638639,0.665670,0.001000,437.654337
112,0.591440,0.581655,0.573005,0.046053,0.809619,0.740182,0.637228,0.690107,0.001000,437.632637
