epoch,train_loss,train_xent,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,time
21,0.781806,0.021776,0.825379,0.028515,0.797376,0.797376,0.926763,0.936116,0.001000,180.298492
22,0.780393,0.021050,0.838637,0.027514,0.803207,0.795190,0.930944,0.938461,0.001000,180.340315
23,0.779194,0.020054,0.809778,0.027096,0.811953,0.805394,0.926696,0.937978,0.001000,180.339887
24,0.776552,0.017592,0.828236,0.026915,0.810496,0.808309,0.931563,0.940370,0.001000,180.402526
25,0.776721,0.018531,0.826944,0.026399,0.811224,0.800292,0.935045,0.941164,0.001000,180.402481
26,0.774660,0.015756,0.788733,0.026871,0.807580,0.792274,0.933551,0.936926,0.001000,180.443167
27,0.774854,0.016442,0.826638,0.026099,0.812682,0.803207,0.931271,0.941161,0.001000,180.839321
28,0.774066,0.015907,0.832710,0.027204,0.809767,0.803207,0.933171,0.938582,0.001000,180.374175
29,0.771873,0.014342,0.820642,0.027392,0.803207,0.794461,0.926979,0.934477,0.001000,180.424167
30,0.771797,0.014765,0.813680,0.027508,0.810496,0.798105,0.929154,0.939004,0.001000,180.440820
31,0.770466,0.013436,0.809974,0.026893,0.811224,0.807580,0.922247,0.937173,0.001000,180.428978
32,0.770066,0.013565,0.853192,0.026544,0.814869,0.803936,0.935919,0.940902,0.001000,180.498655
33,0.769976,0.013299,0.804579,0.026235,0.809767,0.805394,0.929683,0.940436,0.001000,180.548734
34,0.768349,0.011601,0.812994,0.028514,0.799563,0.793003,0.917394,0.930843,0.001000,180.676385
35,0.767563,0.011185,0.824721,0.026182,0.811953,0.804665,0.930626,0.939171,0.001000,180.607307
36,0.767073,0.011106,0.784508,0.027167,0.818513,0.811224,0.925360,0.935121,0.001000,180.579514
37,0.766143,0.010289,0.848334,0.028324,0.796647,0.784985,0.926675,0.935521,0.001000,180.501403
38,0.765841,0.010320,0.889745,0.028023,0.798105,0.793732,0.929224,0.936564,0.001000,180.584814
39,0.763852,0.008746,0.827404,0.026656,0.809038,0.806122,0.933006,0.938542,0.001000,180.867865
40,0.763387,0.008480,0.826150,0.026378,0.810496,0.806122,0.925881,0.942456,0.001000,180.920433
41,0.775722,0.023001,0.832359,0.026619,0.813411,0.803936,0.931261,0.938841,0.001000,180.696882
42,0.773685,0.020682,0.868374,0.028186,0.809767,0.803207,0.925553,0.936376,0.001000,180.741445
43,0.772738,0.018099,0.860520,0.027427,0.810496,0.803936,0.932004,0.935764,0.001000,180.693082
44,0.771897,0.018374,0.889759,0.027595,0.811224,0.796647,0.935138,0.939132,0.001000,180.779178
45,0.772241,0.020148,0.859810,0.028688,0.803207,0.798105,0.915429,0.929070,0.001000,180.613720
46,0.770577,0.018459,0.922030,0.028783,0.805394,0.795918,0.923365,0.931153,0.001000,180.558186
