num_to_fix,seed,valid_accuracy
0,0,0.742427973406
0,1,0.748584092588
0,2,0.76483624723
0,3,0.747599113519
0,4,0.750061561192
0,5,0.767298694903
0,6,0.753755232701
0,7,0.758680128047
0,8,0.765328736764
0,9,0.759665107116
5,0,0.687515390298
5,1,0.734794385619
5,2,0.7274070426
5,3,0.731593203644
5,4,0.742674218173
5,5,0.753755232701
5,6,0.755478946072
5,7,0.74562915538
5,8,0.746121644915
5,9,0.731593203644
10,0,0.6754493967
10,1,0.754493967003
10,2,0.751785274563
10,3,0.736025609456
10,4,0.752524008865
10,5,0.761635065255
10,6,0.72839202167
10,7,0.683821718788
10,8,0.762620044324
10,9,0.749815316425
20,0,0.697857670525
20,1,0.725437084462
20,2,0.744397931544
20,3,0.739719280965
20,4,0.629401625215
20,5,0.729869490273
20,6,0.701305097267
20,7,0.735779364689
20,8,0.738734301896
20,9,0.731593203644
40,0,0.730361979808
40,1,0.706968726915
40,2,0.641960108348
40,3,0.710662398424
40,4,0.589263728146
40,5,0.762866289091
40,6,0.478946072396
40,7,0.724205860625
40,8,0.721250923418
40,9,0.731593203644
80,0,0.516375277025
80,1,0.296724944595
80,2,0.396700320118
80,3,0.242797340557
80,4,0.471558729377
80,5,0.578428958385
80,6,0.44397931544
80,7,0.413691209062
80,8,0.573750307806
80,9,0.175818763851
