num_to_fix,seed,valid_accuracy
0,0,0.742427973406
0,1,0.748584092588
0,2,0.76483624723
0,3,0.747599113519
0,4,0.750061561192
0,5,0.767298694903
0,6,0.753755232701
0,7,0.758680128047
0,8,0.765328736764
0,9,0.759665107116
5,0,0.744151686777
5,1,0.758187638513
5,2,0.768776163507
5,3,0.763112533859
5,4,0.762127554789
5,5,0.761881310022
5,6,0.753262743167
5,7,0.759172617582
5,8,0.756463925142
5,9,0.752277764098
10,0,0.748584092588
10,1,0.757448904211
10,2,0.724452105393
10,3,0.77025363211
10,4,0.757941393745
10,5,0.769268653041
10,6,0.741196749569
10,7,0.756710169909
10,8,0.765574981532
10,9,0.764097512928
20,0,0.671016990889
20,1,0.73380940655
20,2,0.744890421079
20,3,0.781827136173
20,4,0.769761142576
20,5,0.754986456538
20,6,0.733563161783
20,7,0.759665107116
20,8,0.719773454814
20,9,0.768037429205
40,0,0.59074119675
40,1,0.727899532135
40,2,0.692932775179
40,3,0.775424772224
40,4,0.73110071411
40,5,0.740950504802
40,6,0.775917261758
40,7,0.754986456538
40,8,0.715094804235
40,9,0.53508987934
80,0,0.564885496183
80,1,0.377739473036
80,2,0.43117458754
80,3,0.447180497414
80,4,0.391775424772
80,5,0.401871460231
80,6,0.270869244029
80,7,0.483378478207
80,8,0.500123122384
80,9,0.61438069441
