num_to_fix,seed,valid_accuracy
0,0,0.742427973406
0,1,0.748584092588
0,2,0.76483624723
0,3,0.747599113519
0,4,0.750061561192
0,5,0.767298694903
0,6,0.753755232701
0,7,0.758680128047
0,8,0.765328736764
0,9,0.759665107116
1,0,0.750061561192
1,1,0.752277764098
1,2,0.764590002462
1,3,0.744644176311
1,4,0.756956414676
1,5,0.765082491997
1,6,0.756956414676
1,7,0.739226791431
1,8,0.761881310022
1,9,0.744151686777
2,0,0.726668308298
2,1,0.746860379217
2,2,0.701058852499
2,3,0.753755232701
2,4,0.72198965772
2,5,0.665845850776
2,6,0.743166707707
2,7,0.748830337355
2,8,0.736271854223
2,9,0.735533119921
3,0,0.728884511204
3,1,0.739226791431
3,2,0.699088894361
3,3,0.724452105393
3,4,0.759418862349
3,5,0.702290076336
3,6,0.63358778626
3,7,0.732331937946
3,8,0.731593203644
3,9,0.709431174588
