num_to_fix,seed,valid_accuracy
0,0,0.742427973406
0,1,0.748584092588
0,2,0.76483624723
0,3,0.747599113519
0,4,0.750061561192
0,5,0.767298694903
0,6,0.753755232701
0,7,0.758680128047
0,8,0.765328736764
0,9,0.759665107116
5,0,0.767052450135
5,1,0.765574981532
5,2,0.769514897808
5,3,0.769022408274
5,4,0.761388820488
5,5,0.773454814085
5,6,0.766559960601
5,7,0.766313715834
5,8,0.770007387343
5,9,0.763851268161
10,0,0.767298694903
10,1,0.778625954198
10,2,0.775424772224
10,3,0.775424772224
10,4,0.768283673972
10,5,0.768037429205
10,6,0.769022408274
10,7,0.766313715834
10,8,0.776409751293
10,9,0.768037429205
20,0,0.758926372815
20,1,0.79758680128
20,2,0.772716079783
20,3,0.777887219897
20,4,0.78305836001
20,5,0.783797094312
20,6,0.572765328737
20,7,0.781580891406
20,8,0.78946072396
20,9,0.780595912337
40,0,0.750061561192
40,1,0.503816793893
40,2,0.785520807683
40,3,0.668800787983
40,4,0.751046540261
40,5,0.744890421079
40,6,0.54690962817
40,7,0.77665599606
40,8,0.781088401871
40,9,0.701797586801
80,0,0.338340310268
80,1,0.360256094558
80,2,0.224328983009
80,3,0.549125831076
80,4,0.351145038168
80,5,0.354346220143
80,6,0.328244274809
80,7,0.300172371337
80,8,0.332922925388
80,9,0.399655257326
