num_to_fix,seed,valid_accuracy
0,0,0.742427973406
0,1,0.748584092588
0,2,0.76483624723
0,3,0.747599113519
0,4,0.750061561192
0,5,0.767298694903
0,6,0.753755232701
0,7,0.758680128047
0,8,0.765328736764
0,9,0.759665107116
1,0,0.754247722236
1,1,0.755971435607
1,2,0.744890421079
1,3,0.744890421079
1,4,0.744397931544
1,5,0.768776163507
1,6,0.757448904211
1,7,0.75572519084
1,8,0.743659197242
1,9,0.722974636789
2,0,0.752277764098
2,1,0.751292785028
2,2,0.766067471066
2,3,0.743166707707
2,4,0.751785274563
2,5,0.762620044324
2,6,0.735286875154
2,7,0.749076582123
2,8,0.739226791431
2,9,0.721004678651
3,0,0.739719280965
3,1,0.716079783305
3,2,0.707214971682
3,3,0.736025609456
3,4,0.752524008865
3,5,0.758187638513
3,6,0.734055651317
3,7,0.742674218173
3,8,0.756956414676
3,9,0.736764343758
