num_to_fix,seed,valid_accuracy
0,0,0.742427973406
0,1,0.748584092588
0,2,0.76483624723
0,3,0.747599113519
0,4,0.750061561192
0,5,0.767298694903
0,6,0.753755232701
0,7,0.758680128047
0,8,0.765328736764
0,9,0.759665107116
5,0,0.748091603053
5,1,0.754986456538
5,2,0.738980546663
5,3,0.731839448412
5,4,0.74562915538
5,5,0.759911351884
5,6,0.751292785028
5,7,0.755232701305
5,8,0.742181728638
5,9,0.720019699581
10,0,0.687515390298
10,1,0.741442994336
10,2,0.762866289091
10,3,0.738734301896
10,4,0.75474021177
10,5,0.766067471066
10,6,0.721743412952
10,7,0.747599113519
10,8,0.750307805959
10,9,0.743905442009
20,0,0.644176311253
20,1,0.722728392022
20,2,0.732824427481
20,3,0.735286875154
20,4,0.715833538537
20,5,0.757941393745
20,6,0.662644668801
20,7,0.730361979808
20,8,0.736764343758
20,9,0.728884511204
40,0,0.660428465895
40,1,0.756217680374
40,2,0.731593203644
40,3,0.626200443241
40,4,0.664860871706
40,5,0.732085693179
40,6,0.677173110071
40,7,0.712139867028
40,8,0.67643437577
40,9,0.678650578675
80,0,0.661905934499
80,1,0.33637035213
80,2,0.466141344496
80,3,0.498399409013
80,4,0.395961585816
80,5,0.630879093819
80,6,0.524747599114
80,7,0.646638758926
80,8,0.573996552573
80,9,0.501600590987
