num_to_fix,seed,valid_accuracy
0,0,0.742427973406
0,1,0.748584092588
0,2,0.76483624723
0,3,0.747599113519
0,4,0.750061561192
0,5,0.767298694903
0,6,0.753755232701
0,7,0.758680128047
0,8,0.765328736764
0,9,0.759665107116
5,0,0.752524008865
5,1,0.751046540261
5,2,0.764343757695
5,3,0.752277764098
5,4,0.752524008865
5,5,0.764590002462
5,6,0.756956414676
5,7,0.757695148978
5,8,0.756463925142
5,9,0.752770253632
10,0,0.746860379217
10,1,0.751046540261
10,2,0.762127554789
10,3,0.759911351884
10,4,0.754986456538
10,5,0.766806205368
10,6,0.753016498399
10,7,0.760896330953
10,8,0.759418862349
10,9,0.755971435607
20,0,0.750800295494
20,1,0.757695148978
20,2,0.764343757695
20,3,0.753016498399
20,4,0.754001477469
20,5,0.765574981532
20,6,0.756956414676
20,7,0.758680128047
20,8,0.770007387343
20,9,0.759172617582
40,0,0.754001477469
40,1,0.758926372815
40,2,0.765328736764
40,3,0.747106623984
40,4,0.759418862349
40,5,0.767052450135
40,6,0.754001477469
40,7,0.757941393745
40,8,0.770007387343
40,9,0.757695148978
80,0,0.783304604777
80,1,0.782565870475
80,2,0.779857178035
80,3,0.778379709431
80,4,0.781827136173
80,5,0.776902240827
80,6,0.776409751293
80,7,0.778379709431
80,8,0.779118443733
80,9,0.783550849544
