epoch,train_loss,train_loss_best,valid_loss,valid_loss_best,valid_accuracy,valid_kappa,dur
1.000000,0.959418,1.000000,0.974337,1.000000,0.720313,0.000000,736.279318
2.000000,0.942246,1.000000,0.953076,1.000000,0.720313,0.000168,736.276033
3.000000,0.943243,0.000000,0.959920,0.000000,0.720313,0.000168,738.274466
4.000000,0.940606,1.000000,0.947092,1.000000,0.720313,-0.000054,732.235327
5.000000,0.933203,1.000000,0.936313,1.000000,0.718555,0.031278,729.529001
6.000000,0.931767,1.000000,0.935608,1.000000,0.718555,0.081217,727.861319
7.000000,0.929186,1.000000,0.944401,0.000000,0.717578,0.062623,732.328992
8.000000,0.921364,1.000000,0.929261,1.000000,0.720313,0.099868,730.668028
9.000000,0.903643,1.000000,0.952109,0.000000,0.720313,0.077046,725.538671
10.000000,0.876352,1.000000,0.842405,1.000000,0.715430,0.229224,730.143633
11.000000,0.834693,1.000000,0.840285,1.000000,0.718359,0.259896,730.288120
12.000000,0.822756,1.000000,0.865135,0.000000,0.714844,0.339929,731.307482
13.000000,0.781181,1.000000,0.789683,1.000000,0.727651,0.379631,732.297016
14.000000,0.768415,1.000000,0.771912,1.000000,0.733901,0.386048,728.465660
15.000000,0.754809,1.000000,0.768310,1.000000,0.729604,0.372941,733.174690
16.000000,0.749434,1.000000,0.770734,0.000000,0.728041,0.339713,725.299819
17.000000,0.737616,1.000000,0.752708,1.000000,0.731948,0.399509,724.154952
18.000000,0.729974,1.000000,0.740190,1.000000,0.728823,0.370031,726.954569
19.000000,0.721330,1.000000,0.736147,1.000000,0.733119,0.434731,725.099695
20.000000,0.716227,1.000000,0.727929,1.000000,0.733705,0.422767,725.075454
21.000000,0.707256,1.000000,0.748578,0.000000,0.733901,0.383774,727.931577
22.000000,0.703602,1.000000,0.733975,0.000000,0.729799,0.451863,730.171225
23.000000,0.702208,1.000000,0.767419,0.000000,0.727260,0.382006,729.719079
24.000000,0.693241,1.000000,0.701612,1.000000,0.726953,0.443186,727.565678
25.000000,0.693324,0.000000,0.691361,1.000000,0.735770,0.426045,730.936415
26.000000,0.686339,1.000000,0.758393,0.000000,0.719643,0.466428,726.151722
27.000000,0.679745,1.000000,0.698447,0.000000,0.731166,0.448763,725.803212
28.000000,0.676979,1.000000,0.713351,0.000000,0.733510,0.422489,729.568560
29.000000,0.676491,1.000000,0.705237,0.000000,0.726562,0.415365,730.305454
30.000000,0.668313,1.000000,0.722153,0.000000,0.715067,0.492486,728.546020
31.000000,0.667387,1.000000,0.687981,1.000000,0.726200,0.493211,731.820800
32.000000,0.663911,1.000000,0.681825,1.000000,0.734375,0.470138,726.313303
33.000000,0.656563,1.000000,0.720649,0.000000,0.737026,0.377679,728.350466
34.000000,0.656838,0.000000,0.684725,0.000000,0.739174,0.463241,723.165754
35.000000,0.649786,1.000000,0.727856,0.000000,0.734682,0.383527,726.239155
36.000000,0.652393,0.000000,0.660476,1.000000,0.743080,0.457113,732.095014
37.000000,0.641892,1.000000,0.658437,1.000000,0.731362,0.469455,723.710663
38.000000,0.648667,0.000000,0.708831,0.000000,0.706557,0.505457,726.666220
39.000000,0.636783,1.000000,0.674937,0.000000,0.725698,0.521931,730.182239
40.000000,0.637085,0.000000,0.654610,1.000000,0.729325,0.498342,727.842822
41.000000,0.636424,1.000000,0.656678,0.000000,0.740458,0.470407,727.015548
42.000000,0.630336,1.000000,0.717689,0.000000,0.736049,0.399431,731.016440
43.000000,0.630662,0.000000,0.679751,0.000000,0.730497,0.515390,732.054875
44.000000,0.626587,1.000000,0.715661,0.000000,0.717299,0.518683,724.612653
45.000000,0.617194,1.000000,0.741219,0.000000,0.738979,0.371130,724.749614
46.000000,0.617579,0.000000,0.639506,1.000000,0.733147,0.536264,724.850923
47.000000,0.615792,1.000000,1.134147,0.000000,0.638421,0.405163,726.132029
48.000000,0.622406,0.000000,0.673909,0.000000,0.728739,0.522732,724.939518
49.000000,0.612278,1.000000,0.749295,0.000000,0.701590,0.493174,727.795775
50.000000,0.609812,1.000000,0.649937,0.000000,0.742411,0.484129,728.594961
51.000000,0.610109,0.000000,0.640399,0.000000,0.736356,0.496182,728.571737
52.000000,0.608659,1.000000,0.858738,0.000000,0.697126,0.463967,729.899439
53.000000,0.604309,1.000000,0.643966,0.000000,0.734012,0.505699,729.555054
54.000000,0.605862,0.000000,0.621611,1.000000,0.720731,0.529663,731.696856
55.000000,0.602032,1.000000,0.680207,0.000000,0.731473,0.539067,728.960663
56.000000,0.595803,1.000000,0.626258,0.000000,0.733510,0.520183,742.833384
57.000000,0.593377,1.000000,0.612244,1.000000,0.740346,0.535625,752.104187
58.000000,0.590341,1.000000,0.625184,0.000000,0.739509,0.552253,754.268432
59.000000,0.585953,1.000000,0.611985,1.000000,0.734794,0.544570,748.636699
60.000000,0.593721,0.000000,0.619077,0.000000,0.732171,0.547650,756.844631
61.000000,0.587228,0.000000,0.635259,0.000000,0.744559,0.526344,748.045830
62.000000,0.583999,1.000000,0.609367,1.000000,0.732757,0.558540,751.800284
63.000000,0.582653,1.000000,0.613974,0.000000,0.739202,0.536905,751.834819
64.000000,0.578117,1.000000,0.698041,0.000000,0.721819,0.527555,746.805207
65.000000,0.581509,0.000000,0.614343,0.000000,0.741044,0.552112,747.192565
66.000000,0.585787,0.000000,0.600869,1.000000,0.738421,0.564026,737.503125
67.000000,0.572258,1.000000,0.602924,0.000000,0.731864,0.538912,751.437932
68.000000,0.567756,1.000000,0.624029,0.000000,0.731194,0.558245,755.427809
69.000000,0.570291,0.000000,0.610366,0.000000,0.741825,0.566707,751.069617
70.000000,0.573911,0.000000,0.679793,0.000000,0.704520,0.534456,746.987952
71.000000,0.565246,1.000000,0.622019,0.000000,0.734431,0.545259,752.439706
72.000000,0.564949,1.000000,0.588263,1.000000,0.746317,0.548222,749.728314
73.000000,0.560066,1.000000,0.577023,1.000000,0.749079,0.560848,749.144637
74.000000,0.559786,1.000000,0.602565,0.000000,0.733343,0.574634,755.798379
75.000000,0.566640,0.000000,0.616754,0.000000,0.732757,0.563355,750.392641
76.000000,0.559492,1.000000,0.607281,0.000000,0.728348,0.573966,749.562075
77.000000,0.552249,1.000000,0.594000,0.000000,0.742606,0.536454,742.881752
78.000000,0.555313,0.000000,0.594320,0.000000,0.740095,0.566810,741.084278
79.000000,0.548614,1.000000,0.623633,0.000000,0.719280,0.587559,756.931554
80.000000,0.544550,1.000000,0.820528,0.000000,0.689537,0.485860,746.831710
81.000000,0.536761,1.000000,0.560542,1.000000,0.745089,0.604836,734.422790
82.000000,0.540288,0.000000,0.568524,0.000000,0.741267,0.564937,735.483390
83.000000,0.535475,1.000000,0.596749,0.000000,0.749944,0.525074,734.942173
84.000000,0.538126,0.000000,0.572093,0.000000,0.738337,0.607299,739.033625
85.000000,0.532148,1.000000,0.594322,0.000000,0.748075,0.524592,733.567932
86.000000,0.522717,1.000000,0.540946,1.000000,0.753488,0.584049,739.647902
87.000000,0.517938,1.000000,0.601919,0.000000,0.730218,0.594662,743.626069
88.000000,0.516670,1.000000,0.540230,1.000000,0.752483,0.606252,743.919334
89.000000,0.521642,0.000000,0.536261,1.000000,0.749191,0.586738,741.358221
90.000000,0.515180,1.000000,0.545221,0.000000,0.751507,0.578308,742.890746
91.000000,0.507839,1.000000,0.542069,0.000000,0.750363,0.596362,738.920068
92.000000,0.518115,0.000000,0.520145,1.000000,0.743694,0.617798,743.429349
93.000000,0.505549,1.000000,0.517633,1.000000,0.751200,0.619118,741.305313
94.000000,0.499805,1.000000,0.520221,0.000000,0.747294,0.623129,735.027242
95.000000,0.500694,0.000000,0.528252,0.000000,0.755134,0.609572,737.051705
96.000000,0.497665,1.000000,0.504150,1.000000,0.764788,0.645304,741.471912
