train_loss,valid_xent,valid_emd,valid_accuracy,learning_rate,time
7.810334,2.301998,1.909196,0.125000,0.010000,0.096829
7.599287,2.314416,1.766939,0.125000,0.010000,0.064531
7.465999,2.324032,1.665159,0.062500,0.010000,0.073840
7.354423,2.326108,1.614466,0.093750,0.010000,0.081411
7.235797,2.325557,1.599513,0.093750,0.010000,0.072228
7.085099,2.317525,1.614626,0.125000,0.010000,0.075228
6.879665,2.312472,1.619920,0.093750,0.010000,0.069452
6.632790,2.315497,1.546502,0.156250,0.010000,0.064554
6.263441,2.325173,1.576615,0.125000,0.010000,0.066430
5.707025,2.415645,1.469482,0.093750,0.010000,0.127027
train_loss,valid_xent,valid_emd,valid_accuracy,learning_rate,time
8.662517,684.034040,nan,0.091500,0.100000,66.730512
8.663488,684.034040,nan,0.091500,0.100000,63.365152
train_loss,valid_xent,valid_emd,valid_accuracy,learning_rate,time
10.562450,6674.292969,nan,0.096700,0.100000,6.498906
10.765575,6674.292969,nan,0.096700,0.100000,3.461573
10.765575,6674.292969,nan,0.096700,0.100000,3.462146
10.765575,6674.292969,nan,0.096700,0.100000,3.461149
10.765575,6674.292969,nan,0.096700,0.100000,3.467171
10.765575,6674.292969,nan,0.096700,0.100000,3.460954
10.765575,6674.292969,nan,0.096700,0.100000,3.468899
10.765575,6674.292969,nan,0.096700,0.100000,3.463549
10.765575,6674.292969,nan,0.096700,0.100000,3.461881
10.765575,6674.292969,nan,0.096700,0.100000,3.462815
train_loss,valid_xent,valid_emd,valid_accuracy,learning_rate,time
7.288919,1505.110474,0.269828,0.103000,0.010000,5.560005
10.459313,1505.110474,0.269828,0.103000,0.010000,3.456741
10.459313,1505.110474,0.269828,0.103000,0.010000,3.453242
10.459313,1505.110474,0.269828,0.103000,0.010000,3.456210
10.459313,1505.110474,0.269828,0.103000,0.010000,3.560638
10.459313,1505.110474,0.269828,0.103000,0.010000,3.494555
10.459313,1505.110474,0.269828,0.103000,0.010000,3.453723
10.459313,1505.110474,0.269828,0.103000,0.010000,3.454582
10.459313,1505.110474,0.269828,0.103000,0.010000,3.461386
10.459313,1505.110474,0.269828,0.103000,0.010000,3.457558
train_loss,valid_xent,valid_emd,valid_accuracy,learning_rate,time
6.011325,41233.035156,0.271865,0.096700,0.010000,6.117625
10.765575,41233.035156,0.271865,0.096700,0.010000,3.642824
10.765575,41233.035156,0.271865,0.096700,0.010000,3.509950
10.765575,41233.035156,0.271865,0.096700,0.010000,3.458890
10.765575,41233.035156,0.271865,0.096700,0.010000,3.452893
10.765575,41233.035156,0.271865,0.096700,0.010000,3.460180
10.765575,41233.035156,0.271865,0.096700,0.010000,3.452747
train_loss,valid_xent,valid_emd,valid_accuracy,learning_rate,time
train_loss,valid_xent,valid_emd,valid_accuracy,learning_rate,time
1.741014,3.398902,0.064191,0.340400,0.001000,5.570151
0.683851,3.671824,0.051812,0.384800,0.001000,3.469982
0.526554,3.808275,0.045961,0.439800,0.001000,3.466181
0.435914,3.766540,0.042200,0.462700,0.001000,3.467782
0.374929,3.765493,0.039903,0.473200,0.001000,3.467781
0.333658,3.854176,0.039024,0.487500,0.001000,3.465879
0.295868,4.021456,0.037069,0.522200,0.001000,3.467822
0.267752,4.022310,0.036018,0.535200,0.001000,3.465365
0.242002,4.231260,0.035291,0.548000,0.001000,3.469273
0.218440,4.149512,0.034406,0.548400,0.001000,3.466052
train_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,learning_rate,time
1.743983,3.283930,0.062556,0.346000,0.613300,0.001000,5.627955
0.684486,3.556697,0.051927,0.383600,0.705200,0.001000,3.514687
0.521268,3.636059,0.044856,0.438600,0.773300,0.001000,3.514589
0.429417,3.605441,0.041964,0.459200,0.785800,0.001000,3.516139
0.367460,3.698020,0.039411,0.486300,0.801900,0.001000,3.512166
0.328034,3.773906,0.037698,0.510100,0.821900,0.001000,3.518366
0.293684,3.913855,0.035874,0.522400,0.835800,0.001000,3.517007
0.261179,4.022878,0.035427,0.523400,0.830900,0.001000,3.515531
0.232248,4.123074,0.034777,0.528500,0.846800,0.001000,3.516359
0.213517,4.189260,0.033978,0.531500,0.873900,0.001000,3.519466
train_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,learning_rate,time
3.377771,3.440783,0.124247,0.192200,0.451900,0.001000,4.053046
1.268394,3.508858,0.118083,0.194100,0.530800,0.001000,1.955922
0.953925,3.407814,0.113856,0.194400,0.563200,0.001000,1.959362
0.796716,3.247729,0.104132,0.194800,0.607400,0.001000,1.956054
0.693830,3.249243,0.090819,0.227400,0.640300,0.001000,1.956273
0.617789,3.243890,0.081576,0.252000,0.666600,0.001000,1.958245
0.558116,3.237854,0.074259,0.272900,0.682800,0.001000,1.956652
0.509478,3.246406,0.068031,0.316700,0.700000,0.001000,1.957595
0.470258,3.328885,0.062846,0.352700,0.715700,0.001000,1.958369
0.437420,3.408948,0.059032,0.376700,0.724400,0.001000,1.957710
0.411230,3.486413,0.056453,0.390300,0.728800,0.001000,1.957491
0.388713,3.539167,0.054712,0.400500,0.732400,0.001000,1.959649
0.368900,3.621752,0.053287,0.403000,0.741400,0.001000,1.958232
0.350898,3.674767,0.052110,0.407900,0.741900,0.001000,1.958659
0.335015,3.736714,0.051073,0.418200,0.745800,0.001000,1.957694
0.320028,3.769641,0.049775,0.427000,0.751500,0.001000,1.955509
0.307287,3.817125,0.048596,0.437800,0.760300,0.001000,1.959139
0.295540,3.846538,0.047873,0.441600,0.766400,0.001000,1.958225
0.284641,3.874584,0.046816,0.448000,0.779200,0.001000,1.957379
0.274382,3.899643,0.045878,0.453700,0.793300,0.001000,1.957052
0.264824,3.933336,0.045101,0.459500,0.802600,0.001000,1.957963
0.256422,3.955145,0.044268,0.465700,0.810000,0.001000,1.956905
0.248359,3.981051,0.043743,0.467900,0.815700,0.001000,1.955738
0.241406,3.997673,0.042981,0.474200,0.823700,0.001000,1.964955
0.234354,4.028584,0.042465,0.478000,0.829700,0.001000,1.958165
0.227069,4.040226,0.041865,0.483600,0.830000,0.001000,1.956566
0.220368,4.062961,0.041227,0.490000,0.836000,0.001000,1.960598
0.213987,4.086768,0.040702,0.495700,0.839400,0.001000,1.961100
0.207171,4.122532,0.040134,0.502200,0.843500,0.001000,1.955351
0.201448,4.130318,0.039540,0.509900,0.850600,0.001000,1.958435
0.195968,4.159125,0.038936,0.516700,0.852200,0.001000,1.957354
0.190262,4.176198,0.038433,0.522100,0.855400,0.001000,1.955071
0.184962,4.198921,0.037949,0.527600,0.859300,0.001000,1.956576
0.180256,4.223439,0.037554,0.533000,0.861100,0.001000,1.960268
0.175595,4.251373,0.037086,0.537500,0.864600,0.001000,1.958514
0.171165,4.272038,0.036725,0.540400,0.866500,0.001000,1.963523
