epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,valid_kappa_exp,time
70,1.630633,1.661227,0.829920,0.737973,0.770747,549.962487
71,1.625975,1.742944,0.823663,0.752577,0.756562,549.683635
72,1.615524,1.681581,0.829920,0.715674,0.748131,551.389919
73,1.598935,1.692735,0.829352,0.742385,0.756320,551.585419
74,1.600355,1.711218,0.824232,0.667657,0.737856,550.777296
75,1.601136,1.697096,0.835609,0.744174,0.764477,550.984159
76,1.586245,1.686463,0.828783,0.709759,0.750298,550.635426
77,1.574296,1.712298,0.839022,0.744785,0.763026,551.162247
78,1.577032,1.756562,0.819681,0.694708,0.740360,551.147726
79,1.560279,1.667441,0.828783,0.721157,0.745990,550.780583
80,1.555769,1.666854,0.831058,0.747566,0.771083,550.111991
81,1.544532,1.652589,0.833902,0.759534,0.782532,550.086035
82,1.546433,1.673284,0.828214,0.702763,0.734833,550.780490
83,1.529744,1.652904,0.831627,0.747065,0.766945,551.251694
84,1.527627,1.667761,0.824232,0.753214,0.767380,549.577579
85,1.517621,1.667985,0.823094,0.673655,0.703488,551.461316
86,1.516888,1.643011,0.823663,0.717525,0.742734,551.140874
87,1.507086,1.645860,0.832196,0.695807,0.746899,548.438130
88,1.496526,1.645128,0.817975,0.734789,0.767609,549.973540
89,1.495005,1.591515,0.833902,0.695850,0.752350,549.398158
90,1.478838,1.651804,0.829352,0.698673,0.729535,550.290959
91,1.480291,1.654456,0.821388,0.749277,0.779807,550.631580
92,1.474740,1.719432,0.824232,0.687297,0.724208,550.886405
93,1.467740,1.601003,0.833333,0.717040,0.731329,550.689842
94,1.460850,1.622216,0.823663,0.743692,0.776281,551.633969
95,1.454698,1.584852,0.835040,0.736554,0.762775,550.264203
96,1.445068,1.596262,0.832765,0.756778,0.765894,550.176470
97,1.442962,1.639035,0.829352,0.700779,0.715973,550.027980
98,1.433164,1.615321,0.832765,0.714807,0.748271,550.185966
99,1.427917,1.532575,0.831058,0.718763,0.764290,548.320316
100,1.415532,1.632583,0.828783,0.675151,0.697970,549.304193
101,1.411931,1.611614,0.827645,0.749698,0.784745,548.295705
1,1.784495,2.570632,0.786121,0.485348,0.510829,558.440979
2,1.639962,2.007287,0.807736,0.601758,0.636080,556.604415
3,1.621443,1.867551,0.806030,0.605427,0.623389,556.025626
4,1.600562,1.912865,0.787258,0.537674,0.568467,556.172103
5,1.576850,1.700881,0.823663,0.676127,0.707020,556.866151
6,1.571192,1.904236,0.802617,0.578648,0.602249,556.149745
7,1.563069,1.904204,0.800341,0.544406,0.578225,556.265146
8,1.554908,1.636907,0.810011,0.624485,0.660720,555.822336
9,1.540287,1.683106,0.803754,0.619585,0.667390,556.439726
10,1.531690,1.678782,0.824232,0.636168,0.660750,555.630257
11,1.536232,1.993942,0.781570,0.489103,0.520407,555.476085
12,1.528293,1.966828,0.788396,0.482361,0.525164,555.768277
13,1.515805,1.753142,0.797497,0.532864,0.577556,555.015720
14,1.510436,1.807594,0.811149,0.573853,0.592912,556.690694
15,1.504557,1.808939,0.796928,0.556094,0.591098,556.333280
16,1.491464,1.587080,0.822526,0.667038,0.694643,555.409886
17,1.497131,1.889949,0.803754,0.559634,0.598253,554.353813
18,1.484907,1.853456,0.797497,0.559648,0.601139,555.069049
19,1.483353,1.819108,0.797497,0.545178,0.571228,555.492715
20,1.473633,1.867605,0.795791,0.519241,0.560450,554.847273
21,1.470663,1.965756,0.783845,0.487993,0.527756,556.653995
22,1.463803,1.605931,0.820819,0.637691,0.667230,556.585111
23,1.462408,1.788462,0.804892,0.602581,0.623828,555.372096
24,1.455581,1.762471,0.802048,0.558828,0.584058,556.299395
25,1.452618,1.593066,0.811718,0.594621,0.665201,557.040173
26,1.442246,1.898108,0.793515,0.526331,0.571056,556.591929
27,1.440241,1.526915,0.825370,0.689555,0.717937,557.064230
28,1.437628,1.883275,0.787827,0.511552,0.520484,556.854456
29,1.435550,1.553799,0.825939,0.676056,0.720699,555.258878
30,1.415640,1.624837,0.815131,0.628430,0.667899,554.774703
31,1.421875,1.766615,0.791240,0.502058,0.573702,556.982030
32,1.417975,1.536559,0.817406,0.645229,0.693702,555.535561
33,1.412074,1.562133,0.819681,0.655536,0.687833,555.474374
34,1.413453,1.678647,0.796928,0.549219,0.605817,556.056815
35,1.401502,1.578728,0.807736,0.626648,0.690220,555.153465
36,1.393746,1.604198,0.817975,0.619605,0.630580,554.318170
37,1.398760,1.490196,0.827645,0.677160,0.728234,556.429908
38,1.383630,1.724085,0.812856,0.628048,0.648737,555.796532
39,1.385482,1.534141,0.817975,0.671380,0.718713,555.012037
40,1.388710,1.596507,0.810580,0.586023,0.635813,555.150819
41,1.382751,1.640551,0.798635,0.618225,0.653083,555.031017
42,1.372151,1.685578,0.799204,0.534956,0.590585,555.742659
43,1.361900,1.532674,0.821957,0.656215,0.693361,555.905617
44,1.377565,1.754573,0.802048,0.564320,0.558112,554.079095
45,1.361564,1.505290,0.817975,0.641147,0.688448,555.276752
46,1.359534,1.628092,0.813424,0.605270,0.640168,556.499998
47,1.355461,1.518897,0.812856,0.620176,0.671304,555.856963
48,1.356410,1.622421,0.812287,0.617375,0.650548,555.216279
49,1.348033,1.563121,0.808305,0.604083,0.646264,556.856229
50,1.349923,1.646796,0.807167,0.619230,0.646263,555.068208
51,1.335854,1.589118,0.798066,0.604153,0.657576,556.056981
52,1.347417,1.788697,0.796359,0.528039,0.580477,556.439245
53,1.334158,1.647929,0.804323,0.602960,0.642029,554.925442
54,1.326492,1.674662,0.803185,0.592066,0.651592,556.273844
