epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,time
1,3.957172,0.861520,0.747866,0.000000,1537.884466
2,0.871546,0.846372,0.747866,0.000000,1672.881008
3,0.854181,0.838745,0.748435,0.018755,1690.224431
4,0.841289,0.850816,0.748435,0.046971,1716.177359
5,0.832884,0.842057,0.748435,0.045093,1656.370105
6,0.818589,0.797116,0.749573,0.200650,1603.950106
7,0.801098,0.806202,0.750142,0.292115,1677.635375
8,0.792039,0.784441,0.751281,0.274219,1695.512715
9,0.784044,0.768922,0.750142,0.275891,1727.268007
10,0.774378,0.768845,0.753557,0.253280,2051.851769
11,0.767229,0.767830,0.755265,0.231492,1823.664788
12,0.759563,0.752059,0.757541,0.405991,2000.284975
13,0.752082,0.744671,0.755265,0.405091,1727.677138
14,0.737530,0.839502,0.755834,0.253462,1599.161572
15,0.732107,0.745983,0.761525,0.486921,1607.716921
16,0.723113,0.729077,0.766648,0.428591,1593.213224
17,0.712643,0.732833,0.770063,0.524904,1587.738484
18,0.697739,0.710877,0.782584,0.491025,1586.886208
19,0.684252,0.819995,0.772339,0.369777,1544.619308
20,0.661354,0.661322,0.795674,0.608166,1628.303980
21,0.644437,0.787708,0.738190,0.599411,1599.931514
22,0.622701,0.623199,0.808196,0.640782,1517.191616
23,0.609782,0.605547,0.813318,0.659033,1573.435042
24,0.595384,0.591017,0.814456,0.627264,1753.080301
25,0.583270,0.580262,0.820148,0.658714,1765.876368
26,0.573461,0.561581,0.817871,0.664583,1545.397106
27,0.564723,0.597026,0.814456,0.624459,1557.152174
28,0.563246,0.630369,0.808196,0.680263,1479.690148
29,0.560389,0.557474,0.823563,0.680250,1555.033661
30,0.549547,0.591664,0.818441,0.592195,1555.490729
31,0.547032,0.571293,0.823563,0.707256,1492.290974
32,0.539283,0.550173,0.824701,0.691767,1493.500787
33,0.532418,0.551696,0.827547,0.683240,1562.253765
34,0.537400,0.596993,0.818441,0.662808,1496.421756
35,0.528863,0.553978,0.822425,0.699877,1492.573991
36,0.521499,0.549454,0.829824,0.688884,1482.870966
37,0.521828,0.579503,0.821855,0.709571,1473.884792
38,0.519617,0.617285,0.813318,0.631909,1478.112089
39,0.510477,0.555016,0.828685,0.693741,1482.241193
40,0.512802,0.549269,0.834377,0.698727,1485.289158
41,0.511875,0.559145,0.821855,0.694483,1558.790328
42,0.503329,0.549587,0.830393,0.712801,1483.838490
43,0.500673,0.543145,0.832100,0.724646,1496.000322
44,0.499855,0.564932,0.830962,0.702002,1575.171303
45,0.499665,0.544276,0.826978,0.711043,1644.637572
46,0.492298,0.545457,0.825839,0.721272,1667.741033
47,0.491136,0.581234,0.830393,0.683680,1654.533420
48,0.490762,0.542571,0.831531,0.706409,1676.632375
