epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,time
1,7.518855,2.681344,0.745874,0.003844,1601.681084
2,2.683912,2.620502,0.745304,0.000000,1532.397970
3,2.608662,2.551222,0.743312,0.063839,1619.756449
4,2.548345,2.509680,0.741605,0.116604,1619.837480
5,2.511047,2.580410,0.731360,0.341633,1687.236326
6,2.479823,2.449792,0.748435,0.278702,1631.704907
7,2.447193,2.565504,0.739898,0.416261,1588.024440
8,2.429013,2.824055,0.631759,0.370312,1590.949601
9,2.392787,2.344394,0.751850,0.354944,1465.952440
10,2.369185,2.366735,0.758395,0.338799,1553.549889
11,2.342382,2.572920,0.756403,0.242352,1475.019049
12,2.304464,2.265307,0.766932,0.408125,1544.304753
13,2.275331,2.344167,0.762948,0.404830,1544.736862
14,2.231817,2.278666,0.771770,0.549216,1550.151053
15,2.215682,2.188136,0.776608,0.506743,1552.737538
16,2.179959,2.230334,0.772624,0.541930,1481.275679
17,2.156717,2.155836,0.784007,0.489993,1550.650922
18,2.132614,2.222949,0.772339,0.559788,1484.646181
19,2.111255,2.282585,0.750142,0.533769,1491.408833
20,2.093259,2.129889,0.779738,0.496486,1576.951718
21,2.075371,2.082709,0.788275,0.532500,1533.512126
22,2.046243,2.111308,0.785714,0.488857,1568.416994
23,2.029884,2.229707,0.750427,0.545799,1546.053716
24,1.991597,1.974220,0.808480,0.617010,1501.413910
25,1.967463,2.000029,0.795959,0.611290,1587.281888
26,1.946788,1.938578,0.810472,0.655339,1555.426448
27,1.923120,1.940832,0.811611,0.624907,1466.524956
28,1.900719,2.033148,0.791690,0.655934,1468.621967
29,1.895163,1.882370,0.818156,0.638828,1550.509711
30,1.858062,1.842611,0.821855,0.675432,1545.446340
31,1.848502,2.016181,0.794821,0.654280,1474.233904
32,1.823238,1.805531,0.826409,0.689728,1569.673941
33,1.800175,1.958585,0.812464,0.601205,1560.804841
34,1.798612,1.911372,0.815595,0.630478,1482.505274
35,1.773758,1.799973,0.823847,0.683988,1479.677199
36,1.760711,1.813010,0.822709,0.661340,1559.636826
37,1.764245,1.767432,0.831531,0.726980,1572.145317
38,1.738967,1.883307,0.816164,0.632697,1572.141112
39,1.715282,1.806855,0.826978,0.689730,1560.717998
40,1.703072,1.772503,0.828116,0.656950,1562.800999
41,1.693991,1.830145,0.811042,0.696947,1568.777408
42,1.670462,1.801447,0.827832,0.662997,1591.650388
43,1.661641,1.802021,0.819863,0.726578,1685.486742
44,1.640482,1.750360,0.824986,0.724508,1715.357908
45,1.636148,1.705587,0.832669,0.733623,1934.702056
46,1.618345,1.715202,0.830677,0.745816,1801.925777
47,1.616168,1.685701,0.834092,0.709657,1640.264426
48,1.595153,1.694321,0.832954,0.713309,1627.762019
49,1.589488,2.052881,0.756403,0.635590,1558.950798
50,1.564801,1.707804,0.825555,0.699151,1581.154287
51,1.559427,1.786974,0.822994,0.626400,1670.057511
52,1.544783,1.728246,0.828970,0.728058,1691.463747
53,1.534184,2.136074,0.802789,0.499536,1682.213678
54,1.518218,1.868352,0.821002,0.621278,1721.350772
55,1.499575,1.716549,0.827547,0.710991,1652.651251
56,1.494087,1.673498,0.830962,0.748805,1752.732009
57,1.481509,1.708788,0.815595,0.724246,1846.205673
58,1.474462,1.695262,0.824132,0.716425,1724.477975
59,1.460931,1.752110,0.807627,0.719033,1799.019468
60,1.442518,1.929987,0.780592,0.672031,1723.985583
61,1.441743,1.714162,0.826409,0.728194,1751.235047
62,1.411937,1.699810,0.819579,0.706349,1654.772084
63,1.401710,1.714418,0.824701,0.688909,1799.612403
64,1.392859,1.745335,0.815310,0.718623,1767.728787
65,1.374779,1.801409,0.798520,0.698871,1687.254613
66,1.377125,1.954949,0.816164,0.601338,1839.889557
67,1.361211,1.743731,0.803927,0.715248,1742.700702
68,1.348986,1.869380,0.827262,0.652571,1757.680244
69,1.335657,1.811324,0.830393,0.675354,1735.767025
70,1.322903,1.694492,0.821571,0.684250,1637.372926
71,1.324309,1.787475,0.798236,0.709643,1735.097601
72,1.305473,1.833531,0.792829,0.670871,1756.608775
73,1.291912,1.835194,0.816164,0.715435,1730.862906
74,1.279216,2.015358,0.807057,0.702949,1632.221022
75,1.278813,1.694501,0.830677,0.721278,1715.879123
76,1.245839,1.763823,0.802504,0.702119,1614.044626
77,1.244499,1.854932,0.817587,0.711670,1708.039362
78,1.236718,2.019760,0.815310,0.732647,1713.787409
79,1.218817,1.707711,0.837792,0.743881,1708.197751
80,1.213286,2.602948,0.668184,0.520441,1667.608128
81,1.195175,1.787767,0.814456,0.725072,1719.260659
82,1.195706,1.762025,0.813034,0.713750,1661.549846
83,1.176479,1.782931,0.821571,0.705132,1980.803687
84,1.157060,2.070270,0.808480,0.704096,2033.188734
85,1.168056,2.275989,0.807627,0.645705,1669.146606
86,1.151021,1.797965,0.831816,0.754924,1621.393154
87,1.144181,1.802594,0.800797,0.713357,1636.615990
88,1.132575,1.898705,0.824417,0.744287,1631.018709
89,1.112334,1.967995,0.795390,0.673526,1640.395261
90,1.107862,1.760309,0.815026,0.722459,1642.825438
91,1.103998,1.812142,0.818156,0.732484,1578.367659
92,1.099224,1.933022,0.793967,0.697007,1623.280062
93,1.085565,1.903177,0.821571,0.696114,1624.030960
94,1.084456,1.833317,0.827547,0.712895,1656.208270
95,1.078158,2.320923,0.820148,0.706507,1642.512744
96,1.061744,1.932194,0.821002,0.699463,1649.780701
