epoch,train_loss,avg_valid_loss,valid_accuracy,valid_kappa,time
1,3.844133,0.851106,0.747866,0.000000,1436.413000
2,0.873031,0.854250,0.747866,0.000000,1415.821330
3,0.871560,0.850602,0.747866,0.000000,1403.604392
4,0.869548,0.847788,0.747866,0.000000,1313.415279
5,0.867734,0.849839,0.747866,0.000000,1399.845979
6,0.866613,0.857126,0.745020,-0.002457,1391.294260
7,0.863768,0.846673,0.747866,0.000000,1401.812900
8,0.861136,0.844493,0.747866,0.000000,1374.222352
9,0.859348,0.845320,0.747866,0.000000,1399.404631
10,0.854822,0.841724,0.747866,0.000000,1425.054149
11,0.840827,1.825409,0.291975,0.036834,1432.724449
