epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.542238,0.505362,0.843400,0.856600,16.760700
2,0.396912,0.244425,0.928400,0.937400,16.805006
3,0.250117,0.157595,0.954800,0.958900,16.697944
4,0.183569,0.171246,0.950900,0.955800,16.692398
5,0.144765,0.113917,0.966700,0.973200,16.698314
6,0.125873,0.104760,0.970000,0.974500,16.726718
7,0.111876,0.107858,0.970300,0.974300,16.696031
8,0.104532,0.114174,0.965100,0.969900,16.695101
9,0.092715,0.091082,0.972100,0.981100,16.684021
10,0.091428,0.076397,0.978600,0.982600,16.683076
11,0.085262,0.069965,0.980500,0.984700,16.737222
12,0.082624,0.084383,0.978200,0.982000,16.683766
13,0.077171,0.072031,0.980200,0.984200,16.685093
14,0.075463,0.065597,0.983500,0.986000,16.690706
15,0.071481,0.085084,0.978900,0.983000,16.683319
16,0.068241,0.067196,0.980900,0.986800,16.683648
17,0.064620,0.068535,0.982000,0.986000,16.686793
18,0.064532,0.074039,0.980100,0.983900,16.682344
19,0.064549,0.064361,0.981700,0.984900,16.688689
20,0.064998,0.072624,0.980000,0.984300,16.686194
21,0.060735,0.066480,0.981900,0.985800,16.684811
22,0.058223,0.057910,0.984600,0.988500,16.684959
23,0.063100,0.062916,0.981700,0.986100,16.685712
24,0.055857,0.062168,0.984500,0.988400,16.683634
25,0.059147,0.058993,0.983400,0.987200,16.685515
26,0.058532,0.069284,0.981800,0.987000,16.733779
27,0.054377,0.057104,0.984100,0.988000,16.687367
28,0.051915,0.063619,0.984600,0.987900,16.683937
29,0.055997,0.055465,0.985300,0.988500,16.709962
30,0.051776,0.063819,0.983200,0.986300,16.930161
