epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.484901,0.183734,0.946000,0.946000,30.692953
2,0.138612,0.097451,0.972700,0.972700,31.503924
3,0.096853,0.086371,0.975400,0.975400,31.758075
4,0.075860,0.080868,0.974900,0.974900,31.918248
5,0.062685,0.066751,0.980800,0.980800,31.911780
6,0.055294,0.065015,0.980700,0.980700,31.970597
7,0.048870,0.054781,0.984200,0.984200,32.065588
8,0.044171,0.056228,0.984500,0.984500,31.551366
9,0.035709,0.060301,0.982100,0.982100,32.225646
10,0.036958,0.051692,0.985100,0.985100,32.188782
