epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.348078,2.302390,0.106400,0.106400,85.357635
2,2.301370,2.302539,0.106400,0.106400,83.882010
3,2.301355,2.302604,0.106400,0.106400,86.011706
4,2.301341,2.302539,0.106400,0.106400,84.186948
5,2.301393,2.302075,0.106400,0.106400,84.056983
6,2.301433,2.302061,0.106400,0.106400,84.079108
7,2.301449,2.302172,0.106400,0.106400,82.573747
8,2.301384,2.302269,0.106400,0.106400,82.158415
9,2.301344,2.302445,0.106400,0.106400,82.681493
10,2.301363,2.302067,0.106400,0.106400,82.441350
11,2.301427,2.302233,0.106400,0.106400,83.251396
12,2.301334,2.302458,0.106400,0.106400,83.093533
13,2.301451,2.302148,0.106400,0.106400,85.495705
14,2.301458,2.302353,0.106400,0.106400,83.653618
15,2.301445,2.301960,0.106400,0.106400,82.914766
16,2.301323,2.302210,0.106400,0.106400,82.254360
17,2.301319,2.302293,0.106400,0.106400,82.604542
18,2.301442,2.302305,0.106400,0.106400,82.241320
19,2.301408,2.302057,0.106400,0.106400,82.196807
20,2.301427,2.301905,0.106400,0.106400,83.887891
21,2.301392,2.302040,0.106400,0.106400,82.374608
22,2.301435,2.301921,0.106400,0.106400,81.497312
23,2.301356,2.302087,0.106400,0.106400,81.558289
24,2.301563,2.302350,0.106400,0.106400,79.809669
25,2.301434,2.302383,0.106400,0.106400,79.640329
26,2.301436,2.302088,0.106400,0.106400,81.709684
27,2.301443,2.302204,0.106400,0.106400,82.172164
28,2.301466,2.301959,0.106400,0.106400,83.504413
29,2.301293,2.302276,0.106400,0.106400,83.143997
30,2.301392,2.302355,0.106400,0.106400,82.768626
