epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.586141,0.288929,0.922900,0.932800,31.846100
2,0.290783,0.240608,0.935100,0.943600,30.336081
3,0.241216,0.201255,0.947000,0.957600,18.381623
4,0.206558,0.283171,0.954800,0.964300,25.907298
5,0.194358,0.162391,0.959700,0.968700,31.450025
6,0.192198,0.183453,0.956400,0.968500,31.685039
7,0.213126,0.168294,0.963800,0.971400,31.852927
8,0.216208,0.202831,0.961200,0.969300,31.826493
9,0.178327,0.132803,0.961900,0.970300,31.896571
10,0.229900,0.216111,0.959300,0.968900,31.984536
11,0.244909,0.222393,0.964500,0.972500,31.394880
12,0.292498,0.173038,0.967300,0.972800,32.297228
13,0.211272,0.262226,0.965400,0.973300,31.959844
14,0.525303,1.146097,0.965900,0.972600,23.012064
15,0.468696,0.223629,0.961100,0.970500,19.363035
16,0.467684,0.177308,0.966300,0.974900,31.159626
17,0.696053,1.089221,0.964900,0.975500,31.161133
18,0.888073,0.221210,0.968100,0.974800,31.274955
19,0.703796,0.158873,0.966900,0.974700,31.288683
20,0.606854,0.519732,0.961300,0.971700,31.278214
21,0.312943,1.210055,0.968200,0.974300,31.316558
22,1.604741,0.207689,0.968200,0.976200,31.177057
23,1.791737,0.386990,0.961400,0.971700,31.264140
24,1.285966,0.547546,0.961900,0.971700,31.297893
25,1.964191,2.087412,0.960100,0.971200,23.282387
26,1.763725,0.665324,0.942200,0.957900,18.935793
27,1.739448,0.139088,0.967000,0.975600,31.196818
28,3.131295,0.428848,0.962700,0.974300,31.152506
29,0.974088,0.322068,0.966000,0.973300,31.349660
30,1.249525,1.650814,0.957900,0.968500,31.171250
