epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.302208,0.415506,0.874200,0.889600,75.602242
2,0.347778,0.370654,0.889700,0.910200,75.390286
3,0.259814,0.163551,0.953500,0.961600,75.478198
4,0.205010,0.183133,0.953500,0.959100,75.451666
5,0.175259,0.143733,0.961300,0.970200,75.664033
6,0.169744,0.130673,0.966500,0.971700,75.695132
7,0.157732,0.136065,0.964600,0.971100,75.637297
8,0.150707,0.136485,0.958800,0.970900,75.477252
9,0.140428,0.132911,0.965900,0.973600,75.460497
10,0.137203,0.135873,0.964700,0.974200,75.316852
11,0.132722,0.108085,0.971100,0.977900,75.295924
12,0.132150,0.130520,0.966600,0.976300,75.617952
13,0.120015,0.128725,0.966800,0.975300,75.423331
14,0.123624,0.132496,0.965100,0.975500,75.505249
15,0.125530,0.124382,0.966000,0.977600,75.341824
16,0.121022,0.118624,0.965800,0.976600,75.579844
17,0.146903,0.087841,0.974900,0.981200,75.670744
18,0.115471,0.102929,0.972400,0.979500,75.562203
19,0.116244,0.109738,0.970600,0.978200,75.379221
20,0.121255,0.096730,0.971300,0.980000,75.365741
21,0.104938,0.077844,0.976100,0.984100,75.484922
22,0.113254,0.133541,0.964200,0.973600,75.519713
23,0.124324,0.102519,0.974600,0.980200,75.773974
24,0.108923,0.135482,0.963400,0.975500,75.746368
25,0.109808,0.098413,0.976300,0.981000,75.654593
26,0.110228,0.134706,0.966200,0.975300,75.522403
27,0.106634,0.102298,0.975900,0.981800,75.587083
28,0.114416,0.087866,0.975700,0.981500,75.568878
29,0.108162,0.099788,0.970300,0.979200,75.679496
30,0.103650,0.095087,0.975000,0.981100,75.301384
