epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.464479,0.162072,0.951400,0.951400,73.149823
2,0.128030,0.091310,0.972300,0.972300,73.137221
3,0.088764,0.072822,0.977500,0.977500,73.252376
4,0.070828,0.061414,0.981900,0.981900,73.249883
5,0.060562,0.055645,0.983900,0.983900,73.304183
6,0.051554,0.061258,0.981500,0.981500,73.143354
7,0.046852,0.056788,0.983300,0.983300,73.176024
8,0.040194,0.049496,0.985900,0.985900,73.207727
9,0.035746,0.057176,0.982600,0.982600,73.053797
10,0.033554,0.047316,0.986800,0.986800,73.102360
11,0.029480,0.053140,0.984500,0.984500,73.147573
12,0.026978,0.042775,0.989000,0.989000,73.251344
13,0.025888,0.046892,0.988000,0.988000,73.181680
14,0.023168,0.043681,0.987700,0.987700,73.196307
15,0.019915,0.042673,0.988200,0.988200,73.206822
16,0.018466,0.045630,0.988000,0.988000,73.138503
17,0.016851,0.042640,0.988800,0.988800,73.060518
18,0.015678,0.046576,0.987400,0.987400,73.188968
19,0.012914,0.042741,0.986800,0.986800,73.140226
20,0.012845,0.044166,0.987700,0.987700,73.219250
21,0.012959,0.039697,0.988900,0.988900,73.172293
22,0.010982,0.042418,0.987900,0.987900,73.065976
23,0.010162,0.044248,0.988000,0.988000,73.163520
24,0.008099,0.043539,0.988500,0.988500,73.265774
25,0.007912,0.044399,0.988800,0.988800,73.260955
26,0.008605,0.045075,0.989100,0.989100,73.193162
27,0.006547,0.041799,0.989200,0.989200,73.249304
28,0.004165,0.039216,0.989600,0.989600,73.256830
29,0.004127,0.045267,0.989000,0.989000,73.295750
30,0.003587,0.045311,0.988800,0.988800,73.240208
