epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.366334,2.308517,0.106400,0.105200,93.138836
2,2.322851,2.280457,0.104300,0.134600,84.289865
3,1.181361,0.513548,0.829600,0.809500,85.208786
4,0.750454,0.388383,0.873200,0.853600,85.636997
5,0.576646,0.319220,0.892000,0.882700,84.077240
6,0.490014,0.255917,0.922000,0.913900,84.529630
7,0.432847,0.206767,0.936700,0.931400,84.619124
8,0.391064,0.185728,0.943300,0.939900,85.522604
9,0.355538,0.172567,0.949000,0.944800,83.054758
10,0.331660,0.168516,0.950900,0.946900,83.423155
11,0.320851,0.146039,0.957500,0.950500,84.415221
12,0.300146,0.150089,0.958900,0.955100,84.563999
13,0.287052,0.139522,0.960100,0.956800,84.540002
14,0.279179,0.134142,0.962100,0.957200,84.529255
15,0.266074,0.116804,0.966700,0.963200,84.519965
16,0.258567,0.120259,0.966100,0.961800,84.445788
17,0.254486,0.123752,0.965200,0.965200,84.499915
18,0.247691,0.118901,0.968400,0.964300,84.254468
19,0.243313,0.123598,0.965700,0.965100,97.676399
20,0.231491,0.114733,0.969200,0.967300,82.249562
21,0.230927,0.115215,0.967500,0.965700,81.564266
22,0.221808,0.111825,0.970400,0.966300,83.556666
23,0.221047,0.103696,0.971700,0.967900,84.836629
24,0.218031,0.103205,0.972600,0.969700,83.203875
25,0.215996,0.102352,0.973300,0.970500,83.141551
26,0.212797,0.101418,0.972600,0.970800,83.376884
27,0.206769,0.109619,0.970600,0.967000,86.102425
28,0.199831,0.102750,0.971900,0.970800,86.328963
29,0.203226,0.105737,0.972600,0.968900,84.718571
30,0.199903,0.093655,0.974200,0.973800,85.585515
