epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.434751,2.304393,0.106400,0.105500,83.541975
2,2.356767,2.302761,0.106400,0.099000,83.770288
3,2.345349,2.302477,0.106400,0.105100,81.755165
4,2.340291,2.308389,0.098300,0.094900,86.207958
5,2.335104,2.302223,0.106400,0.103000,85.931349
6,2.332472,2.304319,0.106400,0.107900,85.542013
7,2.330661,2.305259,0.099100,0.101800,85.025404
8,2.329256,2.303654,0.099000,0.104800,86.658147
9,2.327785,2.302813,0.099000,0.100800,85.489631
10,2.325933,2.302481,0.109000,0.102400,85.669476
11,2.324975,2.306128,0.106400,0.105200,84.553291
12,2.323052,2.304668,0.106400,0.100900,84.686997
13,2.321895,2.302427,0.103000,0.099900,85.922744
14,2.321896,2.303210,0.106400,0.103600,86.568412
15,2.319324,2.303045,0.103000,0.106900,84.690860
16,2.319612,2.302828,0.106400,0.104600,86.025230
17,2.318215,2.303557,0.106400,0.102500,85.061399
18,2.317254,2.303608,0.106400,0.107200,87.849010
19,2.315831,2.303181,0.106400,0.101300,85.880172
20,2.316229,2.303323,0.106400,0.106100,85.886671
21,2.314724,2.302158,0.106400,0.105800,85.823628
22,2.313763,2.305898,0.118800,0.101400,88.564769
23,2.313984,2.302345,0.106400,0.103300,88.713334
24,2.313164,2.303267,0.106400,0.104400,88.623037
25,2.311937,2.302020,0.106400,0.103400,86.715360
26,2.311979,2.302688,0.106400,0.107300,85.693348
27,2.311285,2.302529,0.106400,0.105700,86.320804
28,2.310448,2.302944,0.106400,0.109500,85.224369
29,2.310684,2.301398,0.106400,0.107500,86.454647
30,2.310554,2.302419,0.106400,0.105200,85.115402
