epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,2.247282,1.490547,0.485800,0.489600,85.719640
2,0.990515,0.449705,0.840300,0.828100,84.859855
3,0.487625,0.244520,0.927500,0.938400,83.982694
4,0.304929,0.160045,0.952400,0.956700,84.256709
5,0.238669,0.109937,0.965900,0.964700,84.254701
6,0.201317,0.094354,0.972500,0.972400,91.583724
7,0.178999,0.125581,0.964200,0.967700,88.352770
8,0.159319,0.085657,0.974000,0.971600,90.456243
9,0.151928,0.087942,0.974300,0.971700,91.171249
10,0.139254,0.133669,0.962300,0.965800,90.563118
11,0.140660,0.068922,0.979000,0.978600,87.779946
12,0.128572,0.070657,0.978600,0.978200,89.782734
13,0.121645,0.068794,0.979500,0.981000,84.501496
14,0.116109,0.072926,0.978100,0.979700,85.289346
15,0.114593,0.069996,0.979600,0.981600,89.219209
16,0.108579,0.075583,0.979200,0.981300,89.746982
17,0.107547,0.061318,0.981200,0.983300,88.269411
18,0.103949,0.053945,0.984200,0.984200,91.286408
19,0.102336,0.064725,0.981100,0.982800,91.427304
20,0.096877,0.053642,0.985200,0.984700,91.305130
21,0.095832,0.068392,0.979400,0.984000,89.998076
22,0.092485,0.049517,0.986000,0.985400,90.057455
23,0.089815,0.053787,0.985000,0.985100,90.386050
24,0.086662,0.055410,0.983800,0.983600,86.961295
25,0.089703,0.057383,0.984700,0.984000,87.461751
26,0.087049,0.061360,0.982300,0.984800,89.693084
27,0.083921,0.053590,0.984200,0.985900,86.991755
28,0.082890,0.052221,0.985500,0.986200,89.281635
29,0.081802,0.049120,0.985900,0.985400,87.248052
30,0.080963,0.063955,0.982000,0.985400,87.627758
