epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.476991,0.166133,0.951400,0.955700,17.849847
2,0.148385,0.101181,0.969900,0.970400,17.976442
3,0.110002,0.091700,0.972300,0.974600,17.964686
4,0.089817,0.075845,0.977200,0.979100,17.831200
5,0.078062,0.072985,0.978200,0.980800,18.380386
6,0.068420,0.073900,0.979500,0.981200,17.811821
7,0.063644,0.064429,0.982500,0.984000,17.813819
8,0.057438,0.065538,0.979100,0.982000,17.808218
9,0.054113,0.068020,0.980000,0.982300,17.808298
10,0.050064,0.055105,0.984700,0.985600,17.809676
