epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.508459,0.207442,0.946600,0.946600,31.317546
2,0.162709,0.120676,0.972700,0.972700,31.904557
3,0.119352,0.108798,0.975900,0.975900,31.556129
4,0.097423,0.098392,0.975600,0.975600,31.615289
5,0.082997,0.083490,0.981500,0.981500,31.856934
6,0.073166,0.080071,0.981800,0.981800,31.541343
7,0.066490,0.077509,0.981100,0.981100,31.783910
8,0.061471,0.072070,0.983800,0.983800,31.436814
9,0.053480,0.069103,0.983800,0.983800,32.395463
10,0.052377,0.061171,0.986400,0.986400,32.009387
