epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,1.309102,0.328114,0.898200,0.898200,17.255528
2,0.223991,0.150694,0.953800,0.953800,17.135618
3,0.128460,0.102030,0.969300,0.969300,17.223223
4,0.096216,0.074036,0.977100,0.977100,16.698123
5,0.080374,0.076447,0.978200,0.978200,16.965391
6,0.067266,0.059604,0.981400,0.981400,17.036115
7,0.059222,0.067778,0.980000,0.980000,17.214775
8,0.055493,0.060788,0.980900,0.980900,17.151444
9,0.050151,0.056724,0.983500,0.983500,17.239122
10,0.045286,0.054405,0.985700,0.985700,17.142834
