epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.503793,0.226002,0.935600,0.944300,76.556684
2,0.186948,0.145361,0.957900,0.962700,76.688615
3,0.148098,0.146591,0.960700,0.966600,76.698627
4,0.125706,0.098044,0.970500,0.974000,76.680454
5,0.116572,0.092318,0.973300,0.977800,76.944423
6,0.101949,0.098710,0.972400,0.976300,76.994948
7,0.114232,0.109994,0.972500,0.977200,76.938596
8,0.096151,0.108313,0.968400,0.975900,77.002421
9,0.129796,0.099590,0.973800,0.979200,76.851640
10,0.105709,0.103570,0.972300,0.976000,76.685773
11,0.109616,0.132120,0.967500,0.973800,76.961077
12,0.121471,0.094173,0.976200,0.979900,76.593968
13,0.088411,0.086166,0.975900,0.980700,76.682243
14,0.109365,0.101994,0.976000,0.978300,76.791123
15,0.099993,0.083990,0.976300,0.981600,76.800542
16,0.111877,0.140471,0.966300,0.971900,76.870231
17,0.139371,0.119893,0.973000,0.977600,76.874467
18,0.086145,0.074313,0.980100,0.983100,76.709794
19,0.104069,0.098580,0.974400,0.978500,76.607642
20,0.102650,0.101863,0.976600,0.979800,76.815206
21,0.096253,0.166467,0.955500,0.966200,76.719248
22,0.132218,0.084243,0.975800,0.980200,76.773034
23,0.151953,0.134728,0.965900,0.971200,76.848767
24,0.133266,3.446227,0.980100,0.983800,76.837415
25,0.135551,0.132734,0.966600,0.974000,76.852700
26,0.131390,0.251103,0.962200,0.969200,76.767925
27,0.107703,0.126426,0.971600,0.979500,76.725436
28,0.147064,0.131236,0.969100,0.975300,76.782348
29,0.142275,0.127913,0.970600,0.977500,76.898064
30,0.122253,0.361793,0.964500,0.973200,76.594613
