epoch,train_loss,valid_loss,valid_accuracy,valid_accuracy_ensemble,time
1,0.535858,0.152596,0.954700,0.951900,87.919881
2,0.175242,0.097047,0.971100,0.969800,90.040304
3,0.123026,0.083813,0.975200,0.975700,87.808585
4,0.103695,0.077048,0.976900,0.977900,85.825612
5,0.090369,0.061121,0.981200,0.979900,86.403076
6,0.078563,0.069583,0.979700,0.979800,85.537922
7,0.074291,0.057899,0.984000,0.983600,86.599629
8,0.072433,0.058310,0.982800,0.983000,88.805709
9,0.064340,0.056349,0.983600,0.983700,90.141646
10,0.060563,0.051076,0.986100,0.984500,89.839382
11,0.058473,0.049711,0.986300,0.986200,88.991941
12,0.053995,0.047473,0.986200,0.985500,90.175629
13,0.052144,0.045696,0.988200,0.985700,86.151977
14,0.049228,0.045678,0.987800,0.987600,85.370441
15,0.047970,0.041553,0.988000,0.987200,84.644764
16,0.045916,0.044550,0.988500,0.988000,87.734334
17,0.044471,0.050317,0.986800,0.985100,84.578929
18,0.043844,0.044057,0.988700,0.988800,82.047727
19,0.044088,0.042617,0.989600,0.988600,82.501791
20,0.041323,0.045351,0.987300,0.988000,82.982704
21,0.041399,0.045001,0.988300,0.988500,82.937297
22,0.037696,0.040011,0.989000,0.989000,82.697483
23,0.034941,0.036042,0.990100,0.989000,82.307240
24,0.038262,0.042158,0.988800,0.988800,82.842786
25,0.036621,0.036955,0.990000,0.989700,84.216519
26,0.033773,0.041992,0.989300,0.988500,84.441347
27,0.033876,0.039496,0.989700,0.990600,82.313404
28,0.035550,0.037891,0.989300,0.989200,84.587961
29,0.030981,0.038364,0.989500,0.989200,81.666412
30,0.030973,0.038397,0.990000,0.990700,84.197615

