epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
51,1.265958,0.786703,1.307102,0.788735,0.053673,0.760956,0.735060,0.602047,0.612601,0.010000,0.472876,441.385929
52,1.260807,0.773050,1.315745,0.800439,0.056760,0.725953,0.690097,0.649751,0.646693,0.010000,0.472902,443.562067
53,1.251094,0.757910,1.273839,0.753497,0.052113,0.752419,0.723677,0.664399,0.663202,0.010000,0.472903,447.560410
54,1.248981,0.774340,1.288018,0.774079,0.053156,0.755834,0.731360,0.637284,0.648683,0.010000,0.473008,447.332795
55,1.241778,0.767686,1.273664,0.766463,0.052977,0.746443,0.721116,0.671387,0.680616,0.010000,0.472675,445.427881
56,1.235950,0.780966,1.267447,0.762686,0.052816,0.752134,0.721969,0.620049,0.641558,0.010000,0.472911,442.379617
57,1.228965,0.788328,1.288025,0.784468,0.053430,0.758680,0.723961,0.652853,0.658770,0.010000,0.472643,444.478507
58,1.222363,0.747288,1.255481,0.756623,0.052494,0.750142,0.704041,0.673543,0.672698,0.010000,0.472833,440.931098
59,1.218717,0.775235,1.274820,0.779579,0.053979,0.755549,0.727945,0.666271,0.677879,0.010000,0.472972,441.523385
60,1.213757,0.761765,1.278991,0.798890,0.053804,0.756403,0.745020,0.599914,0.628241,0.010000,0.473018,441.192912
61,1.204597,0.757045,1.263778,0.785482,0.054966,0.733068,0.704610,0.639180,0.649213,0.010000,0.472726,440.960002
62,1.199551,0.766042,1.244360,0.762165,0.051643,0.759818,0.740751,0.665728,0.672551,0.010000,0.473245,441.069160
63,1.196683,0.761367,1.247691,0.779566,0.054486,0.740751,0.684690,0.662051,0.651831,0.010000,0.472883,441.561615
64,1.187963,0.745976,1.230483,0.765919,0.051485,0.758964,0.744735,0.643215,0.662587,0.010000,0.472901,441.508155
65,1.188066,0.774153,1.223673,0.760157,0.051478,0.760102,0.734775,0.666059,0.669201,0.010000,0.472899,441.169704
66,1.176065,0.767536,1.216654,0.754594,0.051535,0.763517,0.728799,0.667946,0.668878,0.010000,0.472826,441.108095
67,1.168836,0.750351,1.217040,0.755129,0.052426,0.741890,0.708594,0.694804,0.696558,0.010000,0.473006,441.448536
68,1.161658,0.758681,1.220842,0.764764,0.052919,0.745589,0.715139,0.685692,0.680451,0.010000,0.472889,442.459783
69,1.161907,0.742807,1.209740,0.756714,0.051884,0.755834,0.725100,0.684973,0.687347,0.010000,0.472933,444.556127
70,1.153698,0.750133,1.200613,0.757189,0.050543,0.767786,0.753557,0.659852,0.675272,0.010000,0.473244,443.837250
71,1.149613,0.768039,1.233155,0.798204,0.054063,0.757257,0.737336,0.631317,0.646857,0.010000,0.473055,448.757438
72,1.147205,0.739505,1.182845,0.744691,0.050161,0.767786,0.750427,0.682929,0.688260,0.010000,0.473138,451.777921
73,1.140807,0.747786,1.188965,0.757171,0.051415,0.759533,0.743312,0.641506,0.658545,0.010000,0.473062,451.619088
74,1.136377,0.741401,1.201337,0.775123,0.052337,0.761241,0.747012,0.648833,0.668185,0.010000,0.473335,446.059430
75,1.131567,0.751196,1.183629,0.755325,0.051112,0.758680,0.742743,0.675780,0.686262,0.010000,0.472874,445.204099
76,1.125576,0.750034,1.169016,0.752047,0.050759,0.768355,0.741036,0.641759,0.655493,0.010000,0.473195,452.685868
77,1.121572,0.750987,1.177853,0.761253,0.052102,0.752988,0.719977,0.685195,0.682926,0.010000,0.473198,451.834401
