epoch,train_loss,has_valid_loss_improved,time
1,0.113487,nan,1,0.245816
2,0.111037,nan,1,0.215393
3,0.108357,nan,1,0.208266
4,0.105880,nan,1,0.207900
5,0.103797,nan,1,0.205070
6,0.102135,nan,1,0.205445
7,0.100837,nan,1,0.206495
8,0.099812,nan,1,0.206240
9,0.098969,nan,1,0.206278
10,0.098222,nan,1,0.208120
11,0.097500,nan,1,0.208135
12,0.096735,nan,1,0.208175
13,0.095866,nan,1,0.205294
14,0.094828,nan,1,0.204941
15,0.093550,nan,1,0.205313
16,0.091944,nan,1,0.204045
17,0.089899,nan,1,0.205278
18,0.087268,nan,1,0.204970
19,0.083859,nan,1,0.204639
20,0.079419,nan,1,0.205067
21,0.073643,nan,1,0.205369
22,0.066224,nan,1,0.207040
23,0.057001,nan,1,0.205042
24,0.046325,nan,1,0.204934
25,0.035497,nan,1,0.206857
26,0.026618,nan,1,0.204459
27,0.021329,nan,1,0.205159
28,0.019364,nan,1,0.205059
29,0.019231,nan,1,0.204680
30,0.019671,nan,1,0.204464
31,0.020145,nan,1,0.204376
32,0.020584,nan,1,0.205567
33,0.021065,nan,1,0.204700
34,0.021601,nan,1,0.207091
35,0.022095,nan,1,0.205184
36,0.022387,nan,1,0.204632
37,0.022350,nan,1,0.204362
38,0.021947,nan,1,0.204576
39,0.021234,nan,1,0.204638
40,0.020316,nan,1,0.204351
41,0.019312,nan,1,0.205910
42,0.018322,nan,1,0.204762
43,0.017421,nan,1,0.205343
44,0.016659,nan,1,0.203538
45,0.016067,nan,1,0.204004
46,0.015660,nan,1,0.203363
47,0.015421,nan,1,0.203888
48,0.015331,nan,1,0.203696
49,0.015350,nan,1,0.203645
50,0.015423,nan,1,0.205320
51,0.015516,nan,1,0.207799
52,0.015587,nan,1,0.204765
53,0.015617,nan,1,0.205343
54,0.015596,nan,1,0.204487
55,0.015530,nan,1,0.204851
56,0.015429,nan,1,0.205222
57,0.015308,nan,1,0.205049
58,0.015179,nan,1,0.204603
59,0.015052,nan,1,0.204932
60,0.014938,nan,1,0.204501
61,0.014841,nan,1,0.204480
62,0.014762,nan,1,0.203786
63,0.014702,nan,1,0.204381
64,0.014655,nan,1,0.206590
65,0.014623,nan,1,0.205404
66,0.014598,nan,1,0.205508
67,0.014578,nan,1,0.205401
68,0.014561,nan,1,0.205903
69,0.014541,nan,1,0.205266
70,0.014517,nan,1,0.205805
71,0.014492,nan,1,0.205212
72,0.014462,nan,1,0.205678
73,0.014430,nan,1,0.206191
74,0.014396,nan,1,0.205279
75,0.014362,nan,1,0.207289
76,0.014329,nan,1,0.204656
77,0.014297,nan,1,0.204865
78,0.014266,nan,1,0.205588
79,0.014237,nan,1,0.204761
80,0.014211,nan,1,0.204507
