epoch,train_loss,valid_loss,has_valid_loss_improved,time
1,0.050229,0.016024,1,357.594850
2,0.014919,0.014191,1,358.735936
3,0.013558,0.013131,1,358.288035
4,0.012720,0.012471,1,358.162993
5,0.012167,0.011996,1,358.162831
6,0.011744,0.011598,1,358.082341
7,0.011369,0.011229,1,358.042045
8,0.010994,0.010843,1,357.758001
9,0.010587,0.010391,1,357.734511
10,0.010094,0.009870,1,357.673220
11,0.009604,0.009404,1,357.725838
12,0.009188,0.009025,1,357.623989
13,0.008832,0.008681,1,357.649944
14,0.008489,0.008318,1,357.722858
15,0.008129,0.007980,1,357.900091
16,0.007836,0.007725,1,357.584436
17,0.007613,0.007524,1,357.480018
18,0.007427,0.007342,1,357.471463
19,0.007251,0.007167,1,357.479088
20,0.007081,0.007003,1,357.256964
21,0.006929,0.006857,1,357.524216
22,0.006795,0.006729,1,357.538392
23,0.006672,0.006618,1,357.425522
24,0.006570,0.006521,1,357.336818
25,0.006478,0.006437,1,357.377657
26,0.006402,0.006361,1,357.470491
27,0.006329,0.006292,1,357.200187
28,0.006266,0.006230,1,357.092207
29,0.006207,0.006173,1,357.387624
30,0.006151,0.006120,1,357.467296
31,0.006101,0.006071,1,357.574988
32,0.006056,0.006025,1,357.667315
33,0.006011,0.005984,1,357.427924
34,0.005970,0.005942,1,357.565436
35,0.005933,0.005905,1,357.591826
36,0.005896,0.005870,1,357.359424
37,0.005859,0.005837,1,357.437004
38,0.005830,0.005805,1,357.308486
39,0.005802,0.005775,1,357.179183
40,0.005769,0.005746,1,357.302408
41,0.005742,0.005718,1,357.320398
42,0.005714,0.005693,1,357.303412
43,0.005688,0.005667,1,357.008246
44,0.005663,0.005645,1,357.103194
45,0.005642,0.005621,1,356.836096
46,0.005620,0.005598,1,356.406783
47,0.005598,0.005578,1,356.604850
48,0.005578,0.005557,1,356.330773
49,0.005560,0.005538,1,356.392231
50,0.005538,0.005519,1,356.443831
51,0.005519,0.005500,1,356.235037
52,0.005500,0.005483,1,356.302426
53,0.005486,0.005467,1,356.337857
54,0.005468,0.005450,1,356.250550
55,0.005452,0.005435,1,356.465955
56,0.005438,0.005421,1,356.337937
57,0.005425,0.005406,1,357.595811
58,0.005408,0.005392,1,357.937146
59,0.005396,0.005378,1,357.892996
60,0.005382,0.005366,1,358.005766
61,0.005369,0.005353,1,357.745290
62,0.005357,0.005342,1,356.816351
63,0.005345,0.005330,1,358.018088
64,0.005333,0.005319,1,357.977797
65,0.005323,0.005307,1,357.729482
66,0.005314,0.005298,1,356.815462
67,0.005303,0.005288,1,356.949660
68,0.005295,0.005278,1,357.985326
69,0.005283,0.005269,1,357.788379
70,0.005276,0.005260,1,357.735714
71,0.005268,0.005251,1,357.928919
72,0.005257,0.005243,1,357.477635
73,0.005248,0.005234,1,357.195332
74,0.005240,0.005226,1,357.826868
75,0.005234,0.005219,1,357.837282
76,0.005226,0.005210,1,357.989340
77,0.005219,0.005204,1,357.925102
78,0.005212,0.005197,1,357.588830
79,0.005205,0.005190,1,357.608449
80,0.005198,0.005184,1,357.229219
81,0.005192,0.005176,1,356.639814
82,0.005183,0.005171,1,357.247206
83,0.005177,0.005164,1,357.608717
84,0.005173,0.005158,1,357.742864
85,0.005166,0.005153,1,357.771633
86,0.005161,0.005146,1,355.726925
87,0.005155,0.005141,1,355.414213
88,0.005148,0.005136,1,355.607609
89,0.005145,0.005131,1,355.574197
90,0.005141,0.005127,1,355.245867
91,0.005136,0.005121,1,355.313922
92,0.005129,0.005117,1,355.920412
93,0.005126,0.005112,1,355.464705
94,0.005121,0.005107,1,355.839786
95,0.005116,0.005103,1,355.758947
96,0.005112,0.005098,1,355.175857
97,0.005109,0.005095,1,354.954525
98,0.005103,0.005090,1,354.529115
99,0.005097,0.005086,1,354.376543
100,0.005095,0.005082,1,354.385145
