epoch,train_loss,has_valid_loss_improved,time
1,0.002220,nan,1,0.236178
2,0.002220,nan,1,0.212739
3,0.002220,nan,1,0.205971
4,0.002220,nan,1,0.207696
5,0.002220,nan,1,0.207950
6,0.002220,nan,1,0.207989
7,0.002220,nan,1,0.204851
8,0.002220,nan,1,0.206238
9,0.002220,nan,1,0.206360
10,0.002220,nan,1,0.205503
11,0.002220,nan,1,0.207888
12,0.002220,nan,1,0.205547
13,0.002220,nan,1,0.205545
14,0.002220,nan,1,0.206373
15,0.002220,nan,1,0.205290
16,0.002220,nan,1,0.206187
17,0.002220,nan,1,0.205438
18,0.002220,nan,1,0.207356
19,0.002220,nan,1,0.205464
20,0.002220,nan,1,0.204546
21,0.002220,nan,1,0.204394
22,0.002220,nan,1,0.210233
23,0.002220,nan,1,0.208922
24,0.002220,nan,1,0.208927
25,0.002220,nan,1,0.207919
26,0.002219,nan,1,0.208317
27,0.002219,nan,1,0.208018
28,0.002219,nan,1,0.208734
29,0.002219,nan,1,0.209459
30,0.002219,nan,1,0.208253
31,0.002219,nan,1,0.209246
32,0.002219,nan,1,0.208508
33,0.002219,nan,1,0.209071
34,0.002219,nan,1,0.208909
35,0.002219,nan,1,0.207973
36,0.002219,nan,1,0.208695
37,0.002219,nan,1,0.208147
38,0.002219,nan,1,0.208945
39,0.002219,nan,1,0.208924
40,0.002219,nan,1,0.208925
41,0.002219,nan,1,0.209009
42,0.002219,nan,1,0.208853
43,0.002219,nan,1,0.208960
44,0.002219,nan,1,0.208944
45,0.002219,nan,1,0.208951
46,0.002219,nan,1,0.209058
47,0.002219,nan,1,0.208845
48,0.002219,nan,1,0.208821
49,0.002219,nan,1,0.208987
50,0.002219,nan,1,0.208977
51,0.002219,nan,1,0.208946
52,0.002219,nan,1,0.207428
53,0.002219,nan,1,0.207573
54,0.002219,nan,1,0.208827
55,0.002219,nan,1,0.208911
56,0.002219,nan,1,0.208870
57,0.002219,nan,1,0.208917
58,0.002219,nan,1,0.209001
59,0.002219,nan,1,0.208278
60,0.002219,nan,1,0.210491
61,0.002219,nan,1,0.209077
62,0.002219,nan,1,0.208922
63,0.002219,nan,1,0.208917
64,0.002219,nan,1,0.208908
65,0.002219,nan,1,0.208220
66,0.002218,nan,1,0.208163
67,0.002218,nan,1,0.207659
68,0.002218,nan,1,0.208996
69,0.002218,nan,1,0.207582
70,0.002218,nan,1,0.209067
71,0.002218,nan,1,0.207691
72,0.002218,nan,1,0.209111
73,0.002218,nan,1,0.208993
74,0.002218,nan,1,0.208847
75,0.002218,nan,1,0.209066
76,0.002218,nan,1,0.208928
77,0.002218,nan,1,0.207771
78,0.002218,nan,1,0.209111
79,0.002218,nan,1,0.207751
80,0.002218,nan,1,0.208888
81,0.002218,nan,1,0.212221
82,0.002218,nan,1,0.208820
83,0.002218,nan,1,0.208924
84,0.002218,nan,1,0.210851
85,0.002218,nan,1,0.208073
86,0.002218,nan,1,0.208837
87,0.002218,nan,1,0.208185
88,0.002218,nan,1,0.208696
89,0.002218,nan,1,0.207930
90,0.002218,nan,1,0.209001
91,0.002218,nan,1,0.208976
92,0.002218,nan,1,0.209983
93,0.002218,nan,1,0.208759
94,0.002218,nan,1,0.208899
95,0.002218,nan,1,0.208998
96,0.002218,nan,1,0.207879
97,0.002218,nan,1,0.208984
98,0.002218,nan,1,0.208918
99,0.002218,nan,1,0.209022
100,0.002218,nan,1,0.208719
101,0.002218,nan,1,0.209146
102,0.002218,nan,1,0.208870
103,0.002218,nan,1,0.208978
104,0.002218,nan,1,0.208835
105,0.002218,nan,1,0.208977
106,0.002217,nan,1,0.208162
107,0.002218,nan,1,0.207465
108,0.002217,nan,1,0.210000
109,0.002217,nan,1,0.208093
110,0.002217,nan,1,0.208975
111,0.002217,nan,1,0.208854
112,0.002217,nan,1,0.208981
113,0.002217,nan,1,0.208966
114,0.002217,nan,1,0.208933
115,0.002217,nan,1,0.209002
116,0.002217,nan,1,0.208946
117,0.002217,nan,1,0.208753
118,0.002217,nan,1,0.208936
119,0.002217,nan,1,0.209049
120,0.002217,nan,1,0.208847
121,0.002217,nan,1,0.208896
122,0.002217,nan,1,0.207505
123,0.002217,nan,1,0.210525
124,0.002217,nan,1,0.208930
125,0.002217,nan,1,0.208880
126,0.002217,nan,1,0.209031
127,0.002217,nan,1,0.208881
128,0.002217,nan,1,0.208983
129,0.002217,nan,1,0.208416
130,0.002217,nan,1,0.208431
131,0.002217,nan,1,0.208953
132,0.002217,nan,1,0.208422
133,0.002217,nan,1,0.208488
134,0.002217,nan,1,0.208871
135,0.002217,nan,1,0.208927
136,0.002217,nan,1,0.208998
137,0.002217,nan,1,0.208869
138,0.002217,nan,1,0.208889
139,0.002217,nan,1,0.208899
140,0.002217,nan,1,0.208151
141,0.002217,nan,1,0.209431
142,0.002217,nan,1,0.209515
143,0.002217,nan,1,0.208777
144,0.002217,nan,1,0.207540
145,0.002217,nan,1,0.208341
146,0.002217,nan,1,0.207586
147,0.002216,nan,1,0.207886
148,0.002216,nan,1,0.208476
149,0.002216,nan,1,0.208800
150,0.002216,nan,1,0.208914
151,0.002216,nan,1,0.208918
152,0.002216,nan,1,0.209558
153,0.002216,nan,1,0.208899
154,0.002216,nan,1,0.209569
155,0.002216,nan,1,0.208731
156,0.002216,nan,1,0.211374
157,0.002216,nan,1,0.208949
158,0.002216,nan,1,0.208405
159,0.002216,nan,1,0.209099
160,0.002216,nan,1,0.208926
161,0.002216,nan,1,0.207884
162,0.002216,nan,1,0.209081
163,0.002216,nan,1,0.208689
164,0.002216,nan,1,0.209151
165,0.002216,nan,1,0.208459
