epoch,train_loss,train_loss_best,valid_loss,valid_loss_best,valid_accuracy,valid_kappa,dur
1.000000,0.488535,1.000000,0.501176,1.000000,0.756027,0.631334,739.760574
2.000000,0.481047,1.000000,0.583986,0.000000,0.742913,0.637969,733.513290
3.000000,0.482895,0.000000,0.635543,0.000000,0.732840,0.621077,726.871757
4.000000,0.475338,1.000000,0.493983,1.000000,0.763253,0.650447,726.284565
5.000000,0.471462,1.000000,0.503495,0.000000,0.770006,0.638123,727.757076
6.000000,0.469233,1.000000,0.501832,0.000000,0.760519,0.646153,726.498616
7.000000,0.471997,0.000000,0.507088,0.000000,0.759263,0.636609,726.114876
8.000000,0.470305,0.000000,0.515095,0.000000,0.760603,0.652010,726.285809
9.000000,0.465114,1.000000,0.478411,1.000000,0.763839,0.670701,726.267765
10.000000,0.461487,1.000000,0.486779,0.000000,0.761970,0.657005,732.671654
11.000000,0.459582,1.000000,0.484176,0.000000,0.764509,0.649277,852.504235
12.000000,0.463612,0.000000,0.518925,0.000000,0.741378,0.663064,798.090807
13.000000,0.459269,1.000000,0.493018,0.000000,0.762751,0.671550,732.302592
14.000000,0.459521,0.000000,0.539939,0.000000,0.748410,0.639956,733.677996
15.000000,0.455268,1.000000,0.481937,0.000000,0.770898,0.645001,731.167254
16.000000,0.449276,1.000000,0.491817,0.000000,0.763253,0.654722,730.216551
17.000000,0.454316,0.000000,0.700108,0.000000,0.704939,0.607895,729.962488
18.000000,0.455466,0.000000,0.483163,0.000000,0.759459,0.654489,731.812570
19.000000,0.453555,0.000000,0.545118,0.000000,0.744587,0.637534,731.175780
20.000000,0.445854,1.000000,0.504186,0.000000,0.766071,0.630026,734.434619
21.000000,0.450111,0.000000,0.495415,0.000000,0.759654,0.641931,730.217424
22.000000,0.452822,0.000000,0.485786,0.000000,0.767160,0.656908,731.553694
23.000000,0.447458,0.000000,0.485207,0.000000,0.772042,0.654590,733.134978
24.000000,0.444430,1.000000,0.504344,0.000000,0.762974,0.637196,729.133025
25.000000,0.438709,1.000000,0.487019,0.000000,0.765095,0.655848,736.460909
26.000000,0.444247,0.000000,0.458977,1.000000,0.764844,0.682569,729.082256
27.000000,0.438778,0.000000,0.491973,0.000000,0.757199,0.664381,724.100268
28.000000,0.436897,1.000000,0.490326,0.000000,0.759152,0.662533,726.491965
29.000000,0.437643,0.000000,0.518929,0.000000,0.745926,0.654277,730.845277
